Team,INT,INT TD,INT Yds,Lng,Year
Redskins  Redskins,14,2,301,61T,2007
Buccaneers  Buccaneers,16,1,89,29T,2007
Seahawks  Seahawks,20,1,299,84T,2007
49ers  49ers,12,0,138,62,2007
Chargers  Chargers,30,2,311,70T,2007
Steelers  Steelers,11,2,234,51T,2007
Cardinals  Cardinals,18,6,551,71T,2007
Eagles  Eagles,11,0,111,49,2007
Jets  Jets,15,0,110,36,2007
Giants  Giants,15,3,204,43T,2007
Saints  Saints,13,3,267,75T,2007
Patriots  Patriots,19,3,288,65T,2007
Vikings  Vikings,15,6,298,93T,2007
Dolphins  Dolphins,14,1,160,36T,2007
Raiders  Raiders,18,2,321,66T,2007
Rams  Rams,18,2,200,52T,2007
Chiefs  Chiefs,14,0,142,37,2007
Jaguars  Jaguars,20,2,237,39T,2007
Colts  Colts,22,1,355,83T,2007
Texans  Texans,11,0,75,33,2007
Titans  Titans,22,2,358,76T,2007
Packers  Packers,19,1,233,46T,2007
Lions  Lions,17,3,362,66T,2007
Broncos  Broncos,14,0,105,37,2007
Cowboys  Cowboys,19,2,331,70,2007
Browns  Browns,17,1,216,100T,2007
Bengals  Bengals,19,1,220,44,2007
Bears  Bears,16,1,235,85T,2007
Panthers  Panthers,14,1,163,73T,2007
Bills  Bills,18,2,193,38,2007
Ravens  Ravens,17,1,212,35T,2007
Falcons  Falcons,16,0,174,33,2007
Redskins  Redskins,13,0,114,42,2008
Buccaneers  Buccaneers,22,3,396,84,2008
Seahawks  Seahawks,9,2,217,75T,2008
49ers  49ers,12,1,139,86T,2008
Chargers  Chargers,15,2,167,59T,2008
Steelers  Steelers,20,2,290,89,2008
Cardinals  Cardinals,13,2,321,99T,2008
Eagles  Eagles,15,2,279,55T,2008
Jets  Jets,14,3,282,92T,2008
Giants  Giants,17,2,339,57,2008
Saints  Saints,15,0,188,42,2008
Patriots  Patriots,14,0,104,47,2008
Vikings  Vikings,12,0,56,28,2008
Dolphins  Dolphins,18,2,214,55,2008
Raiders  Raiders,16,0,145,44,2008
Rams  Rams,12,0,162,43,2008
Chiefs  Chiefs,13,2,275,91T,2008
Jaguars  Jaguars,13,2,220,72T,2008
Colts  Colts,15,2,204,85T,2008
Texans  Texans,12,1,178,44T,2008
Titans  Titans,20,3,351,99T,2008
Packers  Packers,22,6,685,99T,2008
Lions  Lions,4,0,16,18,2008
Broncos  Broncos,6,0,63,34,2008
Cowboys  Cowboys,8,1,36,23T,2008
Browns  Browns,23,2,406,98,2008
Bengals  Bengals,12,1,236,50T,2008
Bears  Bears,22,1,312,50,2008
Panthers  Panthers,12,0,192,44,2008
Bills  Bills,10,3,217,64T,2008
Ravens  Ravens,26,5,477,107T,2008
Falcons  Falcons,10,2,233,95T,2008
Redskins  Redskins,11,0,185,44,2009
Buccaneers  Buccaneers,19,2,275,36,2009
Seahawks  Seahawks,13,2,164,65T,2009
49ers  49ers,18,1,237,51,2009
Chargers  Chargers,14,1,173,34,2009
Steelers  Steelers,12,2,189,82T,2009
Cardinals  Cardinals,21,1,338,80,2009
Eagles  Eagles,25,2,370,83T,2009
Jets  Jets,17,1,247,67T,2009
Giants  Giants,13,2,221,49,2009
Saints  Saints,26,5,652,99T,2009
Patriots  Patriots,18,3,327,91T,2009
Vikings  Vikings,11,0,43,36,2009
Dolphins  Dolphins,15,1,164,29,2009
Raiders  Raiders,8,0,35,20,2009
Rams  Rams,8,1,102,36T,2009
Chiefs  Chiefs,15,2,380,94,2009
Jaguars  Jaguars,15,0,208,37,2009
Colts  Colts,16,2,167,35T,2009
Texans  Texans,14,1,212,70T,2009
Titans  Titans,20,4,433,80,2009
Packers  Packers,30,3,477,67,2009
Lions  Lions,9,2,210,101T,2009
Broncos  Broncos,17,0,171,37,2009
Cowboys  Cowboys,11,1,33,27T,2009
Browns  Browns,10,0,161,47,2009
Bengals  Bengals,19,2,259,45T,2009
Bears  Bears,13,1,144,39,2009
Panthers  Panthers,22,1,235,41,2009
Bills  Bills,28,2,335,76T,2009
Ravens  Ravens,22,2,346,52T,2009
Falcons  Falcons,15,1,158,62T,2009
Redskins  Redskins,14,1,199,92T,2010
Buccaneers  Buccaneers,19,3,339,64,2010
Seahawks  Seahawks,12,2,168,34,2010
49ers  49ers,15,3,239,62T,2010
Chargers  Chargers,16,3,240,41T,2010
Steelers  Steelers,21,3,248,79T,2010
Cardinals  Cardinals,17,3,424,66T,2010
Eagles  Eagles,23,1,182,40T,2010
Jets  Jets,12,3,214,66,2010
Giants  Giants,16,0,110,36,2010
Saints  Saints,9,2,196,96T,2010
Patriots  Patriots,25,4,419,59T,2010
Vikings  Vikings,15,1,152,41,2010
Dolphins  Dolphins,11,0,66,21,2010
Raiders  Raiders,12,2,105,30T,2010
Rams  Rams,14,0,161,34,2010
Chiefs  Chiefs,14,3,204,54T,2010
Jaguars  Jaguars,13,0,105,47,2010
Colts  Colts,10,2,206,44,2010
Texans  Texans,13,0,90,23,2010
Titans  Titans,17,1,198,41T,2010
Packers  Packers,24,3,318,64,2010
Lions  Lions,14,2,194,42T,2010
Broncos  Broncos,10,0,118,36,2010
Cowboys  Cowboys,20,3,302,101T,2010
Browns  Browns,19,2,320,64T,2010
Bengals  Bengals,16,1,200,56,2010
Bears  Bears,21,1,332,56,2010
Panthers  Panthers,17,1,285,66,2010
Bills  Bills,11,2,210,56,2010
Ravens  Ravens,19,3,289,44,2010
Falcons  Falcons,22,2,337,40,2010
Redskins  Redskins,13,1,127,30,2011
Buccaneers  Buccaneers,14,3,195,43,2011
Seahawks  Seahawks,22,4,462,94T,2011
49ers  49ers,23,1,284,48,2011
Chargers  Chargers,17,1,260,64,2011
Steelers  Steelers,11,0,99,33,2011
Cardinals  Cardinals,10,0,117,49,2011
Eagles  Eagles,15,1,192,35,2011
Jets  Jets,19,2,378,100T,2011
Giants  Giants,20,0,157,31,2011
Saints  Saints,9,1,80,42T,2011
Patriots  Patriots,23,2,296,38,2011
Vikings  Vikings,8,0,152,52,2011
Dolphins  Dolphins,16,1,256,55,2011
Raiders  Raiders,18,0,252,73,2011
Rams  Rams,12,1,169,51,2011
Chiefs  Chiefs,20,2,283,59T,2011
Jaguars  Jaguars,17,0,160,30,2011
Colts  Colts,8,2,118,32T,2011
Texans  Texans,17,1,196,42,2011
Titans  Titans,11,1,179,97T,2011
Packers  Packers,31,4,468,76,2011
Lions  Lions,21,5,458,100T,2011
Broncos  Broncos,9,3,152,55T,2011
Cowboys  Cowboys,15,1,217,43T,2011
Browns  Browns,9,0,93,29,2011
Bengals  Bengals,10,1,137,75T,2011
Bears  Bears,20,4,177,44T,2011
Panthers  Panthers,14,0,197,53,2011
Bills  Bills,20,4,341,43T,2011
Ravens  Ravens,15,1,175,73T,2011
Falcons  Falcons,19,2,301,50T,2011
Redskins  Redskins,21,3,257,49,2012
Buccaneers  Buccaneers,18,3,419,83T,2012
Seahawks  Seahawks,18,2,255,57T,2012
49ers  49ers,14,2,216,63,2012
Chargers  Chargers,14,5,336,80T,2012
Steelers  Steelers,10,1,127,53T,2012
Cardinals  Cardinals,22,2,306,102T,2012
Eagles  Eagles,8,0,31,14,2012
Jets  Jets,11,2,117,40T,2012
Giants  Giants,21,1,496,70,2012
Saints  Saints,15,4,369,99T,2012
Patriots  Patriots,20,2,371,87T,2012
Vikings  Vikings,10,3,224,56T,2012
Dolphins  Dolphins,10,0,99,31,2012
Raiders  Raiders,11,0,91,24,2012
Rams  Rams,17,4,382,42,2012
Chiefs  Chiefs,7,0,119,32,2012
Jaguars  Jaguars,12,0,122,23,2012
Colts  Colts,12,4,155,51,2012
Texans  Texans,15,3,333,86,2012
Titans  Titans,19,4,358,79T,2012
Packers  Packers,18,1,246,72T,2012
Lions  Lions,11,0,135,29,2012
Broncos  Broncos,16,5,347,98T,2012
Cowboys  Cowboys,7,1,147,47T,2012
Browns  Browns,17,2,230,50,2012
Bengals  Bengals,14,2,164,44,2012
Bears  Bears,24,8,488,74T,2012
Panthers  Panthers,11,3,181,74T,2012
Bills  Bills,12,1,178,45,2012
Ravens  Ravens,13,2,196,63T,2012
Falcons  Falcons,20,1,246,79T,2012
Redskins  Redskins,16,4,247,45T,2013
Buccaneers  Buccaneers,21,3,338,85T,2013
Seahawks  Seahawks,28,3,385,58T,2013
49ers  49ers,18,2,278,89T,2013
Chargers  Chargers,11,1,143,41,2013
Steelers  Steelers,10,3,203,40T,2013
Cardinals  Cardinals,20,4,251,43,2013
Eagles  Eagles,19,1,294,76,2013
Jets  Jets,13,1,167,38,2013
Giants  Giants,17,2,270,91,2013
Saints  Saints,12,0,169,43,2013
Patriots  Patriots,17,2,220,79T,2013
Vikings  Vikings,12,0,78,30,2013
Dolphins  Dolphins,18,2,204,94T,2013
Raiders  Raiders,9,1,83,43T,2013
Rams  Rams,14,2,256,98T,2013
Chiefs  Chiefs,21,5,488,100T,2013
Jaguars  Jaguars,11,1,172,59T,2013
Colts  Colts,15,1,186,46,2013
Texans  Texans,7,1,86,32,2013
Titans  Titans,13,1,113,34,2013
Packers  Packers,11,0,36,11,2013
Lions  Lions,15,1,211,66T,2013
Broncos  Broncos,17,1,141,75T,2013
Cowboys  Cowboys,15,2,257,74,2013
Browns  Browns,14,3,274,44T,2013
Bengals  Bengals,20,4,200,60T,2013
Bears  Bears,19,5,428,49,2013
Panthers  Panthers,20,4,234,45T,2013
Bills  Bills,23,2,289,57,2013
Ravens  Ravens,16,1,160,37T,2013
Falcons  Falcons,10,2,176,71T,2013
Redskins  Redskins,7,0,38,14,2014
Buccaneers  Buccaneers,14,3,155,33T,2014
Seahawks  Seahawks,13,2,319,53,2014
49ers  49ers,23,2,315,73,2014
Chargers  Chargers,7,0,65,27,2014
Steelers  Steelers,11,4,242,52T,2014
Cardinals  Cardinals,18,3,321,88T,2014
Eagles  Eagles,12,2,145,53T,2014
Jets  Jets,6,0,36,25,2014
Giants  Giants,17,0,236,39,2014
Saints  Saints,12,0,120,45,2014
Patriots  Patriots,16,0,184,60,2014
Vikings  Vikings,13,2,201,81T,2014
Dolphins  Dolphins,14,2,299,81T,2014
Raiders  Raiders,9,0,76,30,2014
Rams  Rams,13,3,276,99T,2014
Chiefs  Chiefs,6,1,95,39T,2014
Jaguars  Jaguars,6,1,80,55T,2014
Colts  Colts,12,1,143,47T,2014
Texans  Texans,20,4,483,80T,2014
Titans  Titans,12,1,122,34,2014
Packers  Packers,18,3,396,82T,2014
Lions  Lions,20,1,388,70,2014
Broncos  Broncos,18,2,213,38,2014
Cowboys  Cowboys,18,2,228,58T,2014
Browns  Browns,21,2,333,62T,2014
Bengals  Bengals,20,1,161,31,2014
Bears  Bears,14,1,141,45T,2014
Panthers  Panthers,14,2,350,84T,2014
Bills  Bills,19,0,322,45,2014
Ravens  Ravens,11,1,135,44T,2014
Falcons  Falcons,16,1,113,23T,2014
Redskins  Redskins,11,1,181,44,2015
Buccaneers  Buccaneers,11,1,93,26,2015
Seahawks  Seahawks,14,0,205,54,2015
49ers  49ers,9,1,125,45,2015
Chargers  Chargers,11,1,152,68T,2015
Steelers  Steelers,17,2,282,70T,2015
Cardinals  Cardinals,19,4,263,40,2015
Eagles  Eagles,15,3,280,99T,2015
Jets  Jets,18,0,191,31,2015
Giants  Giants,15,2,206,63T,2015
Saints  Saints,9,0,87,24,2015
Patriots  Patriots,12,0,176,51,2015
Vikings  Vikings,13,2,215,91T,2015
Dolphins  Dolphins,13,3,184,42,2015
Raiders  Raiders,14,1,73,27,2015
Rams  Rams,13,1,182,58T,2015
Chiefs  Chiefs,22,4,477,90T,2015
Jaguars  Jaguars,9,1,120,48,2015
Colts  Colts,17,4,196,69T,2015
Texans  Texans,14,2,180,50,2015
Titans  Titans,11,1,164,45,2015
Packers  Packers,16,2,198,45T,2015
Lions  Lions,9,1,103,31T,2015
Broncos  Broncos,14,4,321,74T,2015
Cowboys  Cowboys,8,1,62,24,2015
Browns  Browns,11,2,210,52T,2015
Bengals  Bengals,21,1,202,37,2015
Bears  Bears,8,0,103,39,2015
Panthers  Panthers,24,4,301,46T,2015
Bills  Bills,17,2,253,44T,2015
Ravens  Ravens,6,1,51,25,2015
Falcons  Falcons,15,1,220,84,2015
Redskins  Redskins,13,0,186,79,2016
Buccaneers  Buccaneers,17,4,234,53,2016
Seahawks  Seahawks,11,0,72,31,2016
49ers  49ers,10,0,96,39,2016
Chargers  Chargers,18,3,292,90T,2016
Steelers  Steelers,13,0,133,58,2016
Cardinals  Cardinals,14,2,263,66T,2016
Eagles  Eagles,16,3,207,64T,2016
Jets  Jets,8,0,141,51,2016
Giants  Giants,17,1,174,44T,2016
Saints  Saints,9,0,109,30,2016
Patriots  Patriots,13,0,109,46,2016
Vikings  Vikings,14,2,253,100T,2016
Dolphins  Dolphins,16,1,186,60T,2016
Raiders  Raiders,16,1,147,40,2016
Rams  Rams,10,0,71,29,2016
Chiefs  Chiefs,18,4,271,55T,2016
Jaguars  Jaguars,7,1,104,35,2016
Colts  Colts,8,0,100,56,2016
Texans  Texans,11,1,132,42T,2016
Titans  Titans,12,0,68,33,2016
Packers  Packers,17,0,209,44,2016
Lions  Lions,10,1,96,39T,2016
Broncos  Broncos,14,3,367,51T,2016
Cowboys  Cowboys,9,0,75,27,2016
Browns  Browns,10,1,146,67,2016
Bengals  Bengals,17,0,138,47,2016
Bears  Bears,8,1,73,25,2016
Panthers  Panthers,17,1,204,37,2016
Bills  Bills,12,1,207,49,2016
Ravens  Ravens,18,0,178,53,2016
Falcons  Falcons,12,3,279,90T,2016
Redskins  Redskins,16,2,194,96T,2017
Buccaneers  Buccaneers,13,1,218,47T,2017
Seahawks  Seahawks,14,3,212,78T,2017
49ers  49ers,10,1,185,50T,2017
Chargers  Chargers,18,2,302,90T,2017
Steelers  Steelers,16,0,184,41,2017
Cardinals  Cardinals,15,1,258,82T,2017
Eagles  Eagles,19,1,278,59,2017
Jets  Jets,11,0,151,48,2017
Giants  Giants,13,2,161,53T,2017
Saints  Saints,20,2,192,33,2017
Patriots  Patriots,12,0,114,39,2017
Vikings  Vikings,14,1,200,36,2017
Dolphins  Dolphins,9,1,99,30T,2017
Raiders  Raiders,5,0,10,8,2017
Rams  Rams,18,3,401,69,2017
Chiefs  Chiefs,16,0,201,62,2017
Jaguars  Jaguars,21,2,294,67,2017
Colts  Colts,13,1,215,44,2017
Texans  Texans,11,2,144,82T,2017
Titans  Titans,12,0,154,33,2017
Packers  Packers,11,1,54,21T,2017
Lions  Lions,19,3,253,37T,2017
Broncos  Broncos,10,2,237,103T,2017
Cowboys  Cowboys,10,1,98,25,2017
Browns  Browns,7,1,97,56T,2017
Bengals  Bengals,11,3,339,101,2017
Bears  Bears,8,2,253,90T,2017
Panthers  Panthers,10,0,78,40,2017
Bills  Bills,18,1,275,63,2017
Ravens  Ravens,22,3,385,63T,2017
Falcons  Falcons,8,0,108,43,2017
Redskins  Redskins,15,0,203,40,2018
Buccaneers  Buccaneers,9,0,97,50,2018
Seahawks  Seahawks,12,1,196,98T,2018
49ers  49ers,2,1,55,32T,2018
Chargers  Chargers,13,1,247,86,2018
Steelers  Steelers,8,2,89,35,2018
Cardinals  Cardinals,7,0,55,25,2018
Eagles  Eagles,10,0,139,29,2018
Jets  Jets,13,3,318,104,2018
Giants  Giants,16,3,191,46,2018
Saints  Saints,12,1,259,78,2018
Patriots  Patriots,18,1,156,84T,2018
Vikings  Vikings,12,1,159,52,2018
Dolphins  Dolphins,21,3,321,54,2018
Raiders  Raiders,14,1,124,36T,2018
Rams  Rams,18,3,290,50T,2018
Chiefs  Chiefs,15,3,280,67,2018
Jaguars  Jaguars,11,2,117,33T,2018
Colts  Colts,15,0,220,47,2018
Texans  Texans,15,3,252,101T,2018
Titans  Titans,11,2,120,56T,2018
Packers  Packers,7,1,100,27,2018
Lions  Lions,7,2,148,67T,2018
Broncos  Broncos,17,2,158,53T,2018
Cowboys  Cowboys,9,0,141,49,2018
Browns  Browns,17,0,100,50,2018
Bengals  Bengals,12,3,222,58T,2018
Bears  Bears,27,5,330,49T,2018
Panthers  Panthers,13,0,86,39,2018
Bills  Bills,16,0,133,37,2018
Ravens  Ravens,12,0,99,33,2018
Falcons  Falcons,15,1,151,41T,2018
Redskins  Redskins,13,0,106,33,2019
Buccaneers  Buccaneers,12,2,201,70T,2019
Seahawks  Seahawks,16,2,161,55T,2019
49ers  49ers,12,3,286,49,2019
Chargers  Chargers,11,0,74,37,2019
Steelers  Steelers,20,1,235,96T,2019
Cardinals  Cardinals,7,0,82,48,2019
Eagles  Eagles,11,1,159,51T,2019
Jets  Jets,12,3,138,61T,2019
Giants  Giants,10,1,171,62,2019
Saints  Saints,13,2,140,55T,2019
Patriots  Patriots,25,3,353,69T,2019
Vikings  Vikings,17,1,95,21,2019
Dolphins  Dolphins,13,1,190,35T,2019
Raiders  Raiders,9,2,214,59,2019
Rams  Rams,13,2,137,32T,2019
Chiefs  Chiefs,16,1,141,46T,2019
Jaguars  Jaguars,10,1,132,35,2019
Colts  Colts,15,1,167,80T,2019
Texans  Texans,12,2,302,86,2019
Titans  Titans,14,1,158,38T,2019
Packers  Packers,17,0,177,39,2019
Lions  Lions,7,0,76,55,2019
Broncos  Broncos,10,0,87,24,2019
Cowboys  Cowboys,7,0,83,29,2019
Browns  Browns,14,1,219,61T,2019
Bengals  Bengals,11,0,181,34,2019
Bears  Bears,10,1,157,59,2019
Panthers  Panthers,14,0,141,37,2019
Bills  Bills,14,0,59,49,2019
Ravens  Ravens,13,2,259,89T,2019
Falcons  Falcons,12,1,130,27T,2019
Football Team  Football Team,16,2,136,76T,2020
Buccaneers  Buccaneers,15,1,171,37,2020
Seahawks  Seahawks,14,0,106,32,2020
49ers  49ers,12,1,123,51,2020
Chargers  Chargers,12,2,217,78T,2020
Steelers  Steelers,18,3,169,37,2020
Cardinals  Cardinals,11,0,129,90,2020
Eagles  Eagles,8,1,101,30T,2020
Jets  Jets,10,1,134,35T,2020
Giants  Giants,11,1,101,46T,2020
Saints  Saints,18,1,196,48,2020
Patriots  Patriots,18,1,162,43T,2020
Vikings  Vikings,15,0,65,16,2020
Dolphins  Dolphins,18,0,146,29,2020
Raiders  Raiders,10,0,156,47,2020
Rams  Rams,14,3,266,84T,2020
Chiefs  Chiefs,16,2,259,50T,2020
Jaguars  Jaguars,12,1,200,53,2020
Colts  Colts,15,4,266,50T,2020
Texans  Texans,3,1,19,19T,2020
Titans  Titans,15,0,189,68,2020
Packers  Packers,11,1,98,24,2020
Lions  Lions,7,0,65,36,2020
Broncos  Broncos,10,0,130,46,2020
Cowboys  Cowboys,10,0,108,43,2020
Browns  Browns,11,2,214,50T,2020
Bengals  Bengals,11,0,84,30,2020
Bears  Bears,10,0,81,33,2020
Panthers  Panthers,7,0,110,66,2020
Bills  Bills,15,2,184,51T,2020
Ravens  Ravens,10,0,78,25,2020
Falcons  Falcons,12,1,204,67T,2020
