Team,FR TD,SFTY,INT TD,Year
Redskins  Redskins,0,2,2,2007
Buccaneers  Buccaneers,1,0,1,2007
Seahawks  Seahawks,1,1,1,2007
49ers  49ers,1,1,0,2007
Chargers  Chargers,3,0,2,2007
Steelers  Steelers,0,0,2,2007
Cardinals  Cardinals,0,0,6,2007
Eagles  Eagles,0,0,0,2007
Jets  Jets,1,0,0,2007
Giants  Giants,2,0,3,2007
Saints  Saints,2,1,3,2007
Patriots  Patriots,3,0,3,2007
Vikings  Vikings,2,1,6,2007
Dolphins  Dolphins,1,0,1,2007
Raiders  Raiders,0,1,2,2007
Rams  Rams,0,1,2,2007
Chiefs  Chiefs,1,1,0,2007
Jaguars  Jaguars,1,0,2,2007
Colts  Colts,1,2,1,2007
Texans  Texans,3,0,0,2007
Titans  Titans,0,0,2,2007
Packers  Packers,3,0,1,2007
Lions  Lions,1,1,3,2007
Broncos  Broncos,2,1,0,2007
Cowboys  Cowboys,1,0,2,2007
Browns  Browns,0,1,1,2007
Bengals  Bengals,2,1,1,2007
Bears  Bears,0,1,1,2007
Panthers  Panthers,1,0,1,2007
Bills  Bills,1,2,2,2007
Ravens  Ravens,0,0,1,2007
Falcons  Falcons,1,0,0,2007
Redskins  Redskins,0,0,0,2008
Buccaneers  Buccaneers,1,0,3,2008
Seahawks  Seahawks,1,0,2,2008
49ers  49ers,0,0,1,2008
Chargers  Chargers,1,1,2,2008
Steelers  Steelers,1,1,2,2008
Cardinals  Cardinals,1,0,2,2008
Eagles  Eagles,3,1,2,2008
Jets  Jets,2,0,3,2008
Giants  Giants,0,3,2,2008
Saints  Saints,0,1,0,2008
Patriots  Patriots,0,0,0,2008
Vikings  Vikings,2,3,0,2008
Dolphins  Dolphins,0,1,2,2008
Raiders  Raiders,0,2,0,2008
Rams  Rams,1,0,0,2008
Chiefs  Chiefs,1,0,2,2008
Jaguars  Jaguars,1,1,2,2008
Colts  Colts,2,0,2,2008
Texans  Texans,0,0,1,2008
Titans  Titans,0,0,3,2008
Packers  Packers,1,0,6,2008
Lions  Lions,1,1,0,2008
Broncos  Broncos,2,0,0,2008
Cowboys  Cowboys,0,1,1,2008
Browns  Browns,0,0,2,2008
Bengals  Bengals,2,0,1,2008
Bears  Bears,2,1,1,2008
Panthers  Panthers,2,0,0,2008
Bills  Bills,0,0,3,2008
Ravens  Ravens,1,3,5,2008
Falcons  Falcons,0,1,2,2008
Redskins  Redskins,0,0,0,2009
Buccaneers  Buccaneers,0,0,2,2009
Seahawks  Seahawks,1,0,2,2009
49ers  49ers,2,0,1,2009
Chargers  Chargers,2,1,1,2009
Steelers  Steelers,1,0,2,2009
Cardinals  Cardinals,0,0,1,2009
Eagles  Eagles,2,2,2,2009
Jets  Jets,1,0,1,2009
Giants  Giants,1,0,2,2009
Saints  Saints,3,0,5,2009
Patriots  Patriots,0,0,3,2009
Vikings  Vikings,1,1,0,2009
Dolphins  Dolphins,1,0,1,2009
Raiders  Raiders,0,0,0,2009
Rams  Rams,0,0,1,2009
Chiefs  Chiefs,1,1,2,2009
Jaguars  Jaguars,0,0,0,2009
Colts  Colts,0,0,2,2009
Texans  Texans,1,2,1,2009
Titans  Titans,0,0,4,2009
Packers  Packers,1,1,3,2009
Lions  Lions,1,2,2,2009
Broncos  Broncos,2,0,0,2009
Cowboys  Cowboys,0,0,1,2009
Browns  Browns,0,1,0,2009
Bengals  Bengals,1,0,2,2009
Bears  Bears,0,1,1,2009
Panthers  Panthers,0,2,1,2009
Bills  Bills,0,0,2,2009
Ravens  Ravens,1,0,2,2009
Falcons  Falcons,2,0,1,2009
Redskins  Redskins,1,0,1,2010
Buccaneers  Buccaneers,0,0,3,2010
Seahawks  Seahawks,0,1,2,2010
49ers  49ers,0,0,3,2010
Chargers  Chargers,0,1,3,2010
Steelers  Steelers,0,0,3,2010
Cardinals  Cardinals,4,0,3,2010
Eagles  Eagles,1,0,1,2010
Jets  Jets,0,2,3,2010
Giants  Giants,0,0,0,2010
Saints  Saints,0,1,2,2010
Patriots  Patriots,1,0,4,2010
Vikings  Vikings,1,0,1,2010
Dolphins  Dolphins,1,1,0,2010
Raiders  Raiders,1,2,2,2010
Rams  Rams,0,1,0,2010
Chiefs  Chiefs,0,0,3,2010
Jaguars  Jaguars,0,0,0,2010
Colts  Colts,1,0,2,2010
Texans  Texans,0,0,0,2010
Titans  Titans,0,2,1,2010
Packers  Packers,1,0,3,2010
Lions  Lions,1,1,2,2010
Broncos  Broncos,1,0,0,2010
Cowboys  Cowboys,1,0,3,2010
Browns  Browns,1,0,2,2010
Bengals  Bengals,1,0,1,2010
Bears  Bears,0,0,1,2010
Panthers  Panthers,0,1,1,2010
Bills  Bills,1,0,2,2010
Ravens  Ravens,0,0,3,2010
Falcons  Falcons,1,0,2,2010
Redskins  Redskins,0,0,1,2011
Buccaneers  Buccaneers,1,1,3,2011
Seahawks  Seahawks,0,1,4,2011
49ers  49ers,0,1,1,2011
Chargers  Chargers,1,0,1,2011
Steelers  Steelers,1,2,0,2011
Cardinals  Cardinals,0,0,0,2011
Eagles  Eagles,3,1,1,2011
Jets  Jets,0,3,2,2011
Giants  Giants,1,2,0,2011
Saints  Saints,2,0,1,2011
Patriots  Patriots,1,0,2,2011
Vikings  Vikings,0,1,0,2011
Dolphins  Dolphins,0,0,1,2011
Raiders  Raiders,1,1,0,2011
Rams  Rams,0,2,1,2011
Chiefs  Chiefs,0,0,2,2011
Jaguars  Jaguars,3,0,0,2011
Colts  Colts,1,0,2,2011
Texans  Texans,0,0,1,2011
Titans  Titans,0,0,1,2011
Packers  Packers,1,0,4,2011
Lions  Lions,2,1,5,2011
Broncos  Broncos,0,0,3,2011
Cowboys  Cowboys,0,0,1,2011
Browns  Browns,0,0,0,2011
Bengals  Bengals,2,1,1,2011
Bears  Bears,2,1,4,2011
Panthers  Panthers,0,2,0,2011
Bills  Bills,2,1,4,2011
Ravens  Ravens,3,0,1,2011
Falcons  Falcons,1,0,2,2011
Redskins  Redskins,1,0,3,2012
Buccaneers  Buccaneers,0,0,3,2012
Seahawks  Seahawks,1,0,2,2012
49ers  49ers,1,1,2,2012
Chargers  Chargers,2,1,5,2012
Steelers  Steelers,0,0,1,2012
Cardinals  Cardinals,1,0,2,2012
Eagles  Eagles,0,0,0,2012
Jets  Jets,1,1,2,2012
Giants  Giants,1,0,1,2012
Saints  Saints,0,0,4,2012
Patriots  Patriots,3,1,2,2012
Vikings  Vikings,0,0,3,2012
Dolphins  Dolphins,0,0,0,2012
Raiders  Raiders,0,0,0,2012
Rams  Rams,1,1,4,2012
Chiefs  Chiefs,1,1,0,2012
Jaguars  Jaguars,0,0,0,2012
Colts  Colts,0,0,4,2012
Texans  Texans,0,1,3,2012
Titans  Titans,1,1,4,2012
Packers  Packers,1,0,1,2012
Lions  Lions,0,1,0,2012
Broncos  Broncos,1,2,5,2012
Cowboys  Cowboys,2,0,1,2012
Browns  Browns,0,0,2,2012
Bengals  Bengals,1,0,2,2012
Bears  Bears,1,0,8,2012
Panthers  Panthers,0,1,3,2012
Bills  Bills,0,1,1,2012
Ravens  Ravens,0,0,2,2012
Falcons  Falcons,1,0,1,2012
Redskins  Redskins,1,0,4,2013
Buccaneers  Buccaneers,0,1,3,2013
Seahawks  Seahawks,1,2,3,2013
49ers  49ers,3,1,2,2013
Chargers  Chargers,0,0,1,2013
Steelers  Steelers,0,1,3,2013
Cardinals  Cardinals,1,2,4,2013
Eagles  Eagles,1,2,1,2013
Jets  Jets,0,1,1,2013
Giants  Giants,0,0,2,2013
Saints  Saints,0,0,0,2013
Patriots  Patriots,1,0,2,2013
Vikings  Vikings,1,0,0,2013
Dolphins  Dolphins,0,1,2,2013
Raiders  Raiders,2,0,1,2013
Rams  Rams,3,1,2,2013
Chiefs  Chiefs,2,0,5,2013
Jaguars  Jaguars,1,3,1,2013
Colts  Colts,0,2,1,2013
Texans  Texans,0,1,1,2013
Titans  Titans,2,0,1,2013
Packers  Packers,2,0,0,2013
Lions  Lions,1,2,1,2013
Broncos  Broncos,1,0,1,2013
Cowboys  Cowboys,3,0,2,2013
Browns  Browns,1,0,3,2013
Bengals  Bengals,1,0,4,2013
Bears  Bears,1,0,5,2013
Panthers  Panthers,0,0,4,2013
Bills  Bills,1,0,2,2013
Ravens  Ravens,0,0,1,2013
Falcons  Falcons,1,0,2,2013
Redskins  Redskins,0,0,0,2014
Buccaneers  Buccaneers,0,0,3,2014
Seahawks  Seahawks,0,1,2,2014
49ers  49ers,1,0,2,2014
Chargers  Chargers,3,1,0,2014
Steelers  Steelers,1,1,4,2014
Cardinals  Cardinals,1,0,3,2014
Eagles  Eagles,2,0,2,2014
Jets  Jets,0,1,0,2014
Giants  Giants,1,0,0,2014
Saints  Saints,0,2,0,2014
Patriots  Patriots,2,0,0,2014
Vikings  Vikings,1,0,2,2014
Dolphins  Dolphins,1,3,2,2014
Raiders  Raiders,1,0,0,2014
Rams  Rams,0,0,3,2014
Chiefs  Chiefs,0,0,1,2014
Jaguars  Jaguars,2,1,1,2014
Colts  Colts,1,0,1,2014
Texans  Texans,1,1,4,2014
Titans  Titans,1,1,1,2014
Packers  Packers,1,1,3,2014
Lions  Lions,1,1,1,2014
Broncos  Broncos,1,1,2,2014
Cowboys  Cowboys,1,0,2,2014
Browns  Browns,1,1,2,2014
Bengals  Bengals,0,3,1,2014
Bears  Bears,0,0,1,2014
Panthers  Panthers,0,0,2,2014
Bills  Bills,1,1,0,2014
Ravens  Ravens,0,1,1,2014
Falcons  Falcons,1,0,1,2014
Redskins  Redskins,1,1,1,2015
Buccaneers  Buccaneers,2,0,1,2015
Seahawks  Seahawks,3,0,0,2015
49ers  49ers,0,0,1,2015
Chargers  Chargers,0,0,1,2015
Steelers  Steelers,0,0,2,2015
Cardinals  Cardinals,2,2,4,2015
Eagles  Eagles,1,1,3,2015
Jets  Jets,0,0,0,2015
Giants  Giants,2,1,2,2015
Saints  Saints,1,0,0,2015
Patriots  Patriots,2,1,0,2015
Vikings  Vikings,1,0,2,2015
Dolphins  Dolphins,0,0,3,2015
Raiders  Raiders,0,2,1,2015
Rams  Rams,2,1,1,2015
Chiefs  Chiefs,2,1,4,2015
Jaguars  Jaguars,2,0,1,2015
Colts  Colts,1,1,4,2015
Texans  Texans,1,0,2,2015
Titans  Titans,1,0,1,2015
Packers  Packers,0,0,2,2015
Lions  Lions,1,2,1,2015
Broncos  Broncos,1,1,4,2015
Cowboys  Cowboys,0,1,1,2015
Browns  Browns,0,0,2,2015
Bengals  Bengals,0,0,1,2015
Bears  Bears,0,0,0,2015
Panthers  Panthers,0,0,4,2015
Bills  Bills,1,1,2,2015
Ravens  Ravens,1,0,1,2015
Falcons  Falcons,2,0,1,2015
Redskins  Redskins,0,0,0,2016
Buccaneers  Buccaneers,0,1,4,2016
Seahawks  Seahawks,1,1,0,2016
49ers  49ers,0,1,0,2016
Chargers  Chargers,2,1,3,2016
Steelers  Steelers,1,1,0,2016
Cardinals  Cardinals,1,2,2,2016
Eagles  Eagles,0,1,3,2016
Jets  Jets,0,0,0,2016
Giants  Giants,2,0,1,2016
Saints  Saints,0,1,0,2016
Patriots  Patriots,0,3,0,2016
Vikings  Vikings,2,1,2,2016
Dolphins  Dolphins,0,0,1,2016
Raiders  Raiders,0,0,1,2016
Rams  Rams,1,0,0,2016
Chiefs  Chiefs,1,1,4,2016
Jaguars  Jaguars,0,0,1,2016
Colts  Colts,1,0,0,2016
Texans  Texans,0,1,1,2016
Titans  Titans,1,0,0,2016
Packers  Packers,0,0,0,2016
Lions  Lions,0,2,1,2016
Broncos  Broncos,1,0,3,2016
Cowboys  Cowboys,0,0,0,2016
Browns  Browns,0,0,1,2016
Bengals  Bengals,0,1,0,2016
Bears  Bears,1,1,1,2016
Panthers  Panthers,2,1,1,2016
Bills  Bills,2,0,1,2016
Ravens  Ravens,1,0,0,2016
Falcons  Falcons,2,0,3,2016
Redskins  Redskins,0,0,2,2017
Buccaneers  Buccaneers,3,0,1,2017
Seahawks  Seahawks,1,2,3,2017
49ers  49ers,0,0,1,2017
Chargers  Chargers,1,0,2,2017
Steelers  Steelers,0,1,0,2017
Cardinals  Cardinals,1,0,1,2017
Eagles  Eagles,4,0,1,2017
Jets  Jets,0,0,0,2017
Giants  Giants,0,1,2,2017
Saints  Saints,1,0,2,2017
Patriots  Patriots,0,2,0,2017
Vikings  Vikings,0,1,1,2017
Dolphins  Dolphins,2,2,1,2017
Raiders  Raiders,0,0,0,2017
Rams  Rams,0,2,3,2017
Chiefs  Chiefs,3,0,0,2017
Jaguars  Jaguars,5,0,2,2017
Colts  Colts,0,2,1,2017
Texans  Texans,2,1,2,2017
Titans  Titans,1,0,0,2017
Packers  Packers,1,0,1,2017
Lions  Lions,2,0,3,2017
Broncos  Broncos,2,0,2,2017
Cowboys  Cowboys,0,0,1,2017
Browns  Browns,0,0,1,2017
Bengals  Bengals,0,0,3,2017
Bears  Bears,1,1,2,2017
Panthers  Panthers,1,0,0,2017
Bills  Bills,2,0,1,2017
Ravens  Ravens,2,0,3,2017
Falcons  Falcons,2,0,0,2017
Redskins  Redskins,1,0,0,2018
Buccaneers  Buccaneers,1,0,0,2018
Seahawks  Seahawks,1,0,1,2018
49ers  49ers,0,1,1,2018
Chargers  Chargers,1,0,1,2018
Steelers  Steelers,1,2,2,2018
Cardinals  Cardinals,2,0,0,2018
Eagles  Eagles,0,0,0,2018
Jets  Jets,0,0,3,2018
Giants  Giants,0,0,3,2018
Saints  Saints,0,0,1,2018
Patriots  Patriots,1,0,1,2018
Vikings  Vikings,2,0,1,2018
Dolphins  Dolphins,0,0,3,2018
Raiders  Raiders,0,0,1,2018
Rams  Rams,1,2,3,2018
Chiefs  Chiefs,1,0,3,2018
Jaguars  Jaguars,0,2,2,2018
Colts  Colts,0,0,0,2018
Texans  Texans,1,0,3,2018
Titans  Titans,0,0,2,2018
Packers  Packers,0,0,1,2018
Lions  Lions,0,0,2,2018
Broncos  Broncos,0,0,2,2018
Cowboys  Cowboys,1,0,0,2018
Browns  Browns,0,1,0,2018
Bengals  Bengals,2,0,3,2018
Bears  Bears,1,1,5,2018
Panthers  Panthers,1,0,0,2018
Bills  Bills,0,1,0,2018
Ravens  Ravens,3,0,0,2018
Falcons  Falcons,1,0,1,2018
Redskins  Redskins,0,0,0,2019
Buccaneers  Buccaneers,4,0,2,2019
Seahawks  Seahawks,1,0,2,2019
49ers  49ers,2,0,3,2019
Chargers  Chargers,0,0,0,2019
Steelers  Steelers,2,0,1,2019
Cardinals  Cardinals,0,0,0,2019
Eagles  Eagles,2,0,1,2019
Jets  Jets,2,2,3,2019
Giants  Giants,1,1,1,2019
Saints  Saints,1,1,2,2019
Patriots  Patriots,2,1,3,2019
Vikings  Vikings,1,1,1,2019
Dolphins  Dolphins,0,1,1,2019
Raiders  Raiders,0,0,2,2019
Rams  Rams,2,1,2,2019
Chiefs  Chiefs,2,0,1,2019
Jaguars  Jaguars,1,0,1,2019
Colts  Colts,0,2,1,2019
Texans  Texans,0,0,2,2019
Titans  Titans,2,1,1,2019
Packers  Packers,0,0,0,2019
Lions  Lions,1,0,0,2019
Broncos  Broncos,1,0,0,2019
Cowboys  Cowboys,1,0,0,2019
Browns  Browns,0,0,1,2019
Bengals  Bengals,0,1,0,2019
Bears  Bears,0,1,1,2019
Panthers  Panthers,1,2,0,2019
Bills  Bills,0,1,0,2019
Ravens  Ravens,4,1,2,2019
Falcons  Falcons,1,0,1,2019
Football Team  Football Team,1,1,2,2020
Buccaneers  Buccaneers,0,1,1,2020
Seahawks  Seahawks,0,3,0,2020
49ers  49ers,0,0,1,2020
Chargers  Chargers,0,1,2,2020
Steelers  Steelers,0,1,3,2020
Cardinals  Cardinals,0,1,0,2020
Eagles  Eagles,1,1,1,2020
Jets  Jets,0,1,1,2020
Giants  Giants,1,0,1,2020
Saints  Saints,0,1,1,2020
Patriots  Patriots,1,0,1,2020
Vikings  Vikings,0,1,0,2020
Dolphins  Dolphins,2,0,0,2020
Raiders  Raiders,0,0,0,2020
Rams  Rams,1,1,3,2020
Chiefs  Chiefs,0,1,2,2020
Jaguars  Jaguars,0,0,1,2020
Colts  Colts,0,3,4,2020
Texans  Texans,0,0,1,2020
Titans  Titans,1,0,0,2020
Packers  Packers,1,1,1,2020
Lions  Lions,0,1,0,2020
Broncos  Broncos,0,0,0,2020
Cowboys  Cowboys,2,0,0,2020
Browns  Browns,0,2,2,2020
Bengals  Bengals,0,0,0,2020
Bears  Bears,1,1,0,2020
Panthers  Panthers,3,0,0,2020
Bills  Bills,1,0,2,2020
Ravens  Ravens,3,2,0,2020
Falcons  Falcons,0,0,1,2020
