Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year
Falcons  Falcons,321,1247,3.9,11,6,2,50T,64,19.9,1,2013
Redskins  Redskins,401,1691,4.2,15,11,0,30,88,21.9,9,2014
Buccaneers  Buccaneers,353,1375,3.9,7,8,3,63,72,20.4,5,2014
Seahawks  Seahawks,525,2762,5.3,20,17,6,79T,144,27.4,9,2014
49ers  49ers,470,2176,4.6,10,14,2,90T,104,22.1,10,2014
Chargers  Chargers,398,1367,3.4,6,6,1,52,75,18.8,5,2014
Steelers  Steelers,423,1752,4.1,10,9,3,81,98,23.2,7,2014
Cardinals  Cardinals,397,1308,3.3,6,6,0,22,67,16.9,4,2014
Eagles  Eagles,474,1992,4.2,16,12,2,53,109,23.0,10,2014
Jets  Jets,507,2280,4.5,11,10,2,71T,112,22.1,10,2014
Giants  Giants,449,1603,3.6,13,4,2,50T,83,18.5,1,2014
Saints  Saints,406,1818,4.5,16,10,2,67,101,24.9,6,2014
Patriots  Patriots,438,1727,3.9,13,7,1,43,96,21.9,1,2014
Vikings  Vikings,413,1804,4.4,12,11,3,67T,90,21.8,3,2014
Dolphins  Dolphins,399,1872,4.7,12,13,2,97T,99,24.8,8,2014
Raiders  Raiders,337,1240,3.7,4,6,2,90T,56,16.6,10,2014
Rams  Rams,395,1635,4.1,11,7,1,89T,79,20.0,7,2014
Chiefs  Chiefs,420,1918,4.6,18,12,3,63T,92,21.9,9,2014
Jaguars  Jaguars,360,1633,4.5,9,15,2,62T,86,23.9,6,2014
Colts  Colts,415,1612,3.9,9,7,1,49T,80,19.3,10,2014
Texans  Texans,551,2161,3.9,12,11,4,51,108,19.6,6,2014
Titans  Titans,356,1447,4.1,6,7,1,52,75,21.1,5,2014
Packers  Packers,435,1917,4.4,14,11,2,44T,104,23.9,7,2014
Lions  Lions,396,1422,3.6,11,6,1,57,72,18.2,7,2014
Broncos  Broncos,443,1785,4.0,15,13,1,47,98,22.1,6,2014
Cowboys  Cowboys,508,2354,4.6,16,19,5,65T,106,20.9,9,2014
Browns  Browns,477,1728,3.6,17,10,0,36,88,18.4,7,2014
Bengals  Bengals,492,2147,4.4,19,14,4,89T,122,24.8,8,2014
Bears  Bears,355,1441,4.1,8,5,0,32,91,25.6,6,2014
Panthers  Panthers,473,2036,4.3,10,7,1,69T,117,24.7,9,2014
Bills  Bills,402,1482,3.7,7,7,3,53,65,16.2,5,2014
Ravens  Ravens,448,2019,4.5,16,24,3,52,113,25.2,6,2014
Falcons  Falcons,372,1498,4.0,11,7,2,55,75,20.2,4,2014
Redskins  Redskins,429,1566,3.7,9,10,2,48,81,18.9,11,2015
Buccaneers  Buccaneers,455,2162,4.8,12,20,5,84,99,21.8,9,2015
Seahawks  Seahawks,500,2268,4.5,10,12,2,69T,128,25.6,7,2015
49ers  49ers,390,1544,4.0,7,6,2,47,83,21.3,8,2015
Chargers  Chargers,393,1358,3.5,4,9,1,53,79,20.1,7,2015
Steelers  Steelers,388,1724,4.4,16,15,3,55,91,23.5,5,2015
Cardinals  Cardinals,452,1917,4.2,16,12,5,63T,92,20.4,8,2015
Eagles  Eagles,442,1743,3.9,15,12,2,63T,110,24.9,10,2015
Jets  Jets,448,1868,4.2,11,13,2,58,99,22.1,6,2015
Giants  Giants,403,1609,4.0,5,8,0,39,77,19.1,4,2015
Saints  Saints,397,1491,3.8,16,6,2,70,98,24.7,3,2015
Patriots  Patriots,383,1404,3.7,14,4,0,38T,87,22.7,2,2015
Vikings  Vikings,474,2211,4.7,18,14,6,80T,113,23.8,9,2015
Dolphins  Dolphins,344,1496,4.3,11,12,1,85T,72,20.9,4,2015
Raiders  Raiders,370,1457,3.9,7,10,2,54,74,20.0,6,2015
Rams  Rams,429,1956,4.6,16,19,7,71T,92,21.4,12,2015
Chiefs  Chiefs,436,2044,4.7,19,13,2,52,116,26.6,5,2015
Jaguars  Jaguars,354,1473,4.2,5,8,1,45,69,19.5,9,2015
Colts  Colts,396,1438,3.6,6,7,0,37T,77,19.4,6,2015
Texans  Texans,472,1731,3.7,7,7,1,41,90,19.1,5,2015
Titans  Titans,371,1485,4.0,10,10,2,87T,66,17.8,9,2015
Packers  Packers,436,1850,4.2,8,9,1,65T,100,22.9,8,2015
Lions  Lions,354,1335,3.8,7,7,0,36,71,20.1,7,2015
Broncos  Broncos,411,1718,4.2,13,11,2,72T,85,20.7,5,2015
Cowboys  Cowboys,408,1890,4.6,8,17,3,50,94,23.0,7,2015
Browns  Browns,380,1529,4.0,5,10,2,54,81,21.3,5,2015
Bengals  Bengals,467,1805,3.9,18,5,0,38T,99,21.2,8,2015
Bears  Bears,468,1854,4.0,13,6,0,27,108,23.1,5,2015
Panthers  Panthers,526,2282,4.3,19,11,3,47,136,25.9,8,2015
Bills  Bills,509,2432,4.8,19,19,4,60T,122,24.0,9,2015
Ravens  Ravens,383,1478,3.9,8,7,1,44,89,23.2,6,2015
Falcons  Falcons,420,1606,3.8,13,8,1,46,95,22.6,9,2015
Redskins  Redskins,379,1696,4.5,17,10,4,66,89,23.5,7,2016
Buccaneers  Buccaneers,453,1616,3.6,8,5,2,45,80,17.7,8,2016
Seahawks  Seahawks,403,1591,3.9,13,7,4,75T,85,21.1,6,2016
49ers  49ers,458,2019,4.4,15,11,2,47,116,25.3,8,2016
Chargers  Chargers,398,1510,3.8,10,9,3,48,90,22.6,6,2016
Steelers  Steelers,409,1760,4.3,13,5,2,60T,97,23.7,6,2016
Cardinals  Cardinals,399,1732,4.3,20,10,4,58T,97,24.3,11,2016
Eagles  Eagles,438,1813,4.1,16,7,0,30,114,26.0,9,2016
Jets  Jets,418,1802,4.3,10,11,0,35T,97,23.2,6,2016
Giants  Giants,398,1412,3.5,6,7,0,25,73,18.3,2,2016
Saints  Saints,404,1742,4.3,17,8,2,75T,105,26.0,2,2016
Patriots  Patriots,482,1872,3.9,19,8,3,44,109,22.6,8,2016
Vikings  Vikings,380,1205,3.2,9,6,0,36,66,17.4,3,2016
Dolphins  Dolphins,405,1824,4.5,14,12,5,62T,90,22.2,11,2016
Raiders  Raiders,434,1922,4.4,17,19,2,75T,98,22.6,8,2016
Rams  Rams,375,1252,3.3,9,6,0,30T,68,18.1,6,2016
Chiefs  Chiefs,412,1748,4.2,15,12,5,70T,86,20.9,5,2016
Jaguars  Jaguars,392,1631,4.2,8,7,3,57T,75,19.1,9,2016
Colts  Colts,409,1628,4.0,13,4,0,33,93,22.7,5,2016
Texans  Texans,456,1859,4.1,8,10,1,45,102,22.4,8,2016
Titans  Titans,476,2187,4.6,16,8,3,75T,115,24.2,10,2016
Packers  Packers,374,1701,4.5,11,13,2,61,91,24.3,5,2016
Lions  Lions,350,1310,3.7,9,6,1,42,76,21.7,2,2016
Broncos  Broncos,410,1484,3.6,11,4,1,64,76,18.5,5,2016
Cowboys  Cowboys,499,2396,4.8,24,17,3,60T,142,28.5,9,2016
Browns  Browns,350,1712,4.9,13,12,3,85T,83,23.7,12,2016
Bengals  Bengals,446,1769,4.0,17,6,3,74T,100,22.4,5,2016
Bears  Bears,380,1735,4.6,10,13,2,69,93,24.5,9,2016
Panthers  Panthers,453,1814,4.0,16,10,1,47,99,21.9,6,2016
Bills  Bills,492,2630,5.3,29,27,5,75T,146,29.7,11,2016
Ravens  Ravens,367,1463,4.0,10,8,1,41,79,21.5,4,2016
Falcons  Falcons,421,1928,4.6,20,15,4,75T,108,25.7,3,2016
Redskins  Redskins,401,1448,3.6,10,3,1,61T,66,16.5,10,2017
Buccaneers  Buccaneers,389,1450,3.7,8,5,0,36,76,19.5,7,2017
Seahawks  Seahawks,409,1629,4.0,4,12,0,33,85,20.8,7,2017
49ers  49ers,408,1662,4.1,15,8,1,61,88,21.6,7,2017
Chargers  Chargers,419,1595,3.8,10,10,1,87T,84,20.0,5,2017
Steelers  Steelers,437,1667,3.8,12,6,0,29T,96,22.0,4,2017
Cardinals  Cardinals,409,1386,3.4,6,5,0,33,66,16.1,9,2017
Eagles  Eagles,473,2115,4.5,9,19,3,71,108,22.8,11,2017
Jets  Jets,427,1702,4.0,13,14,5,75T,77,18.0,6,2017
Giants  Giants,394,1549,3.9,6,8,2,75T,66,16.8,5,2017
Saints  Saints,444,2070,4.7,23,17,5,74T,111,25.0,5,2017
Patriots  Patriots,448,1889,4.2,16,10,1,44,107,23.9,4,2017
Vikings  Vikings,501,1957,3.9,15,15,2,58T,100,20.0,4,2017
Dolphins  Dolphins,360,1388,3.9,4,10,4,69,66,18.3,5,2017
Raiders  Raiders,370,1554,4.2,13,10,4,52T,78,21.1,8,2017
Rams  Rams,454,1953,4.3,17,12,1,57T,97,21.4,8,2017
Chiefs  Chiefs,405,1903,4.7,12,15,4,70,95,23.5,3,2017
Jaguars  Jaguars,527,2262,4.3,18,13,5,90T,101,19.2,9,2017
Colts  Colts,451,1661,3.7,11,8,0,35,94,20.8,7,2017
Texans  Texans,448,1842,4.1,8,6,2,49T,86,19.2,4,2017
Titans  Titans,443,1833,4.1,18,12,3,75T,97,21.9,4,2017
Packers  Packers,386,1724,4.5,13,11,1,46T,99,25.6,4,2017
Lions  Lions,363,1221,3.4,10,7,0,34,58,16.0,6,2017
Broncos  Broncos,457,1852,4.1,8,8,1,40,92,20.1,5,2017
Cowboys  Cowboys,480,2170,4.5,18,12,2,70,127,26.5,1,2017
Browns  Browns,384,1714,4.5,11,7,1,59,97,25.3,5,2017
Bengals  Bengals,377,1366,3.6,6,8,0,25,72,19.1,4,2017
Bears  Bears,422,1788,4.2,13,10,5,53,93,22.0,10,2017
Panthers  Panthers,490,2102,4.3,15,10,5,69,121,24.7,10,2017
Bills  Bills,487,2017,4.1,12,17,1,48T,105,21.6,8,2017
Ravens  Ravens,460,1856,4.0,14,8,1,50,111,24.1,5,2017
Falcons  Falcons,430,1847,4.3,12,11,2,52,101,23.5,9,2017
Redskins  Redskins,414,1774,4.3,12,7,3,90T,96,23.2,6,2018
Buccaneers  Buccaneers,389,1523,3.9,11,5,0,28,80,20.6,5,2018
Seahawks  Seahawks,534,2560,4.8,15,17,2,61,133,24.9,6,2018
49ers  49ers,423,1902,4.5,7,15,3,66T,98,23.2,13,2018
Chargers  Chargers,399,1873,4.7,16,16,1,41,100,25.1,2,2018
Steelers  Steelers,345,1445,4.2,16,10,0,30,88,25.5,4,2018
Cardinals  Cardinals,355,1342,3.8,9,6,1,53,76,21.4,6,2018
Eagles  Eagles,398,1570,3.9,12,7,0,32,94,23.6,5,2018
Jets  Jets,410,1622,4.0,11,11,3,77T,84,20.5,9,2018
Giants  Giants,354,1650,4.7,13,17,7,78T,71,20.1,0,2018
Saints  Saints,471,2025,4.3,26,9,1,49T,134,28.5,7,2018
Patriots  Patriots,478,2037,4.3,18,12,0,34T,131,27.4,2,2018
Vikings  Vikings,357,1493,4.2,9,13,1,70,66,18.5,6,2018
Dolphins  Dolphins,371,1738,4.7,7,12,3,75T,75,20.2,7,2018
Raiders  Raiders,387,1628,4.2,9,8,2,52,86,22.2,8,2018
Rams  Rams,459,2231,4.9,23,14,2,56,134,29.2,2,2018
Chiefs  Chiefs,387,1855,4.8,16,19,1,45,108,27.9,4,2018
Jaguars  Jaguars,416,1723,4.1,7,9,2,43,92,22.1,5,2018
Colts  Colts,408,1718,4.2,13,9,2,53,96,23.5,5,2018
Texans  Texans,472,2021,4.3,12,8,2,97T,94,19.9,4,2018
Titans  Titans,454,2023,4.5,15,10,2,99T,106,23.3,4,2018
Packers  Packers,333,1667,5.0,14,10,1,67,98,29.4,4,2018
Lions  Lions,404,1660,4.1,11,10,1,71,91,22.5,3,2018
Broncos  Broncos,393,1907,4.9,18,12,3,65T,107,27.2,4,2018
Cowboys  Cowboys,439,1963,4.5,13,12,1,41,113,25.7,10,2018
Browns  Browns,411,1893,4.6,15,18,5,92T,93,22.6,6,2018
Bengals  Bengals,359,1682,4.7,13,16,3,51,92,25.6,2,2018
Bears  Bears,468,1938,4.1,16,17,1,42,108,23.1,9,2018
Panthers  Panthers,416,2136,5.1,17,15,3,59,117,28.1,7,2018
Bills  Bills,468,1984,4.2,15,15,1,45,108,23.1,7,2018
Ravens  Ravens,547,2441,4.5,19,14,1,43,153,28.0,16,2018
Falcons  Falcons,351,1573,4.5,11,14,3,65,84,23.9,4,2018
Redskins  Redskins,356,1583,4.4,9,11,2,65T,74,20.8,7,2019
Buccaneers  Buccaneers,409,1521,3.7,15,10,1,49,81,19.8,6,2019
Seahawks  Seahawks,481,2200,4.6,15,14,2,59,121,25.2,11,2019
49ers  49ers,498,2305,4.6,23,16,4,83T,110,22.1,8,2019
Chargers  Chargers,366,1453,4.0,12,9,1,40,90,24.6,7,2019
Steelers  Steelers,395,1447,3.7,7,9,1,45,75,19.0,7,2019
Cardinals  Cardinals,396,1990,5.0,18,16,1,80T,109,27.5,3,2019
Eagles  Eagles,454,1939,4.3,16,7,2,65T,104,22.9,9,2019
Jets  Jets,383,1257,3.3,6,2,0,24,61,15.9,5,2019
Giants  Giants,362,1685,4.7,11,13,3,68T,89,24.6,9,2019
Saints  Saints,405,1738,4.3,12,11,1,40T,97,24.0,3,2019
Patriots  Patriots,447,1703,3.8,17,6,0,33T,110,24.6,3,2019
Vikings  Vikings,476,2133,4.5,19,15,4,75T,106,22.3,10,2019
Dolphins  Dolphins,349,1156,3.3,10,3,0,28,64,18.3,7,2019
Raiders  Raiders,437,1893,4.3,13,11,3,60T,104,23.8,9,2019
Rams  Rams,401,1499,3.7,20,8,0,27,92,22.9,6,2019
Chiefs  Chiefs,375,1569,4.2,16,10,3,91T,93,24.8,5,2019
Jaguars  Jaguars,389,1708,4.4,3,10,4,81,85,21.9,3,2019
Colts  Colts,471,2130,4.5,17,14,3,63T,131,27.8,3,2019
Texans  Texans,434,2009,4.6,17,13,4,58,112,25.8,11,2019
Titans  Titans,445,2223,5.0,21,14,5,74T,104,23.4,8,2019
Packers  Packers,411,1795,4.4,18,7,3,56T,90,21.9,3,2019
Lions  Lions,407,1649,4.1,7,7,2,44,82,20.1,5,2019
Broncos  Broncos,409,1662,4.1,11,8,1,40,77,18.8,2,2019
Cowboys  Cowboys,449,2153,4.8,18,11,2,44T,120,26.7,7,2019
Browns  Browns,393,1901,4.8,15,11,4,88T,90,22.9,5,2019
Bengals  Bengals,385,1517,3.9,9,8,1,41,85,22.1,3,2019
Bears  Bears,395,1458,3.7,8,5,2,55,85,21.5,5,2019
Panthers  Panthers,386,1819,4.7,20,7,5,84T,82,21.2,7,2019
Bills  Bills,465,2054,4.4,13,13,1,41,120,25.8,13,2019
Ravens  Ravens,596,3296,5.5,21,23,5,63T,188,31.5,12,2019
Falcons  Falcons,362,1361,3.8,10,6,0,28,84,23.2,4,2019
Football Team  Football Team,400,1611,4.0,18,7,1,40,108,27.0,3,2020
Buccaneers  Buccaneers,369,1519,4.1,16,9,2,98T,82,22.2,3,2020
Seahawks  Seahawks,411,1971,4.8,15,11,1,50T,111,27.0,6,2020
49ers  49ers,437,1889,4.3,19,8,2,80T,101,23.1,6,2020
Chargers  Chargers,466,1784,3.8,12,10,0,36,111,23.8,8,2020
Steelers  Steelers,373,1351,3.6,12,10,2,59,81,21.7,7,2020
Cardinals  Cardinals,479,2237,4.7,22,17,2,69T,136,28.4,9,2020
Eagles  Eagles,403,2027,5.0,16,12,5,82T,114,28.3,15,2020
Jets  Jets,406,1683,4.1,9,4,1,46T,94,23.2,2,2020
Giants  Giants,399,1768,4.4,13,9,3,80,91,22.8,5,2020
Saints  Saints,494,2265,4.6,30,14,3,49,147,29.8,9,2020
Patriots  Patriots,502,2346,4.7,20,13,3,49,143,28.5,8,2020
Vikings  Vikings,468,2283,4.9,20,10,1,70T,139,29.7,5,2020
Dolphins  Dolphins,428,1688,3.9,15,7,0,31,100,23.4,5,2020
Raiders  Raiders,457,1916,4.2,20,9,1,43,121,26.5,9,2020
Rams  Rams,473,2018,4.3,19,9,4,61,123,26.0,4,2020
Chiefs  Chiefs,403,1799,4.5,13,10,0,32T,110,27.3,5,2020
Jaguars  Jaguars,337,1519,4.5,9,6,1,47,80,23.7,3,2020
Colts  Colts,459,1996,4.3,20,12,3,62T,129,28.1,1,2020
Texans  Texans,344,1466,4.3,10,5,1,48,83,24.1,7,2020
Titans  Titans,521,2690,5.2,26,20,5,94T,142,27.3,5,2020
Packers  Packers,443,2118,4.8,16,10,4,77T,114,25.7,4,2020
Lions  Lions,367,1499,4.1,17,5,1,54,93,25.3,5,2020
Broncos  Broncos,442,1918,4.3,13,13,3,65,94,21.3,7,2020
Cowboys  Cowboys,430,1788,4.2,14,7,2,42T,115,26.7,7,2020
Browns  Browns,495,2374,4.8,21,21,4,59,133,26.9,7,2020
Bengals  Bengals,411,1668,4.1,13,9,2,55,92,22.4,8,2020
Bears  Bears,393,1647,4.2,12,8,3,80T,93,23.7,1,2020
Panthers  Panthers,407,1704,4.2,19,6,1,45,110,27.0,7,2020
Bills  Bills,411,1723,4.2,16,10,1,51T,119,29.0,6,2020
Ravens  Ravens,555,3071,5.5,24,31,5,72T,166,29.9,11,2020
Falcons  Falcons,409,1532,3.7,13,6,1,62,86,21.0,5,2020
