Team,Rsh TD,Rec TD,Tot TD,2-PT,Year
Redskins  Redskins,15,18,35,2,2007
Buccaneers  Buccaneers,15,18,36,0,2007
Seahawks  Seahawks,9,30,44,0,2007
49ers  49ers,8,15,24,0,2007
Chargers  Chargers,19,22,49,0,2007
Steelers  Steelers,9,34,46,2,2007
Cardinals  Cardinals,9,32,49,0,2007
Eagles  Eagles,12,24,38,0,2007
Jets  Jets,6,15,26,1,2007
Giants  Giants,15,23,44,0,2007
Saints  Saints,14,28,47,4,2007
Patriots  Patriots,17,50,75,1,2007
Vikings  Vikings,22,12,43,3,2007
Dolphins  Dolphins,14,12,29,2,2007
Raiders  Raiders,11,17,30,2,2007
Rams  Rams,5,19,27,1,2007
Chiefs  Chiefs,6,17,24,1,2007
Jaguars  Jaguars,18,28,50,1,2007
Colts  Colts,19,32,54,2,2007
Texans  Texans,12,24,43,3,2007
Titans  Titans,17,9,28,0,2007
Packers  Packers,13,30,49,0,2007
Lions  Lions,13,19,37,0,2007
Broncos  Broncos,10,21,34,0,2007
Cowboys  Cowboys,14,36,54,0,2007
Browns  Browns,13,29,46,2,2007
Bengals  Bengals,10,26,41,1,2007
Bears  Bears,8,18,34,1,2007
Panthers  Panthers,7,19,28,0,2007
Bills  Bills,8,12,25,1,2007
Ravens  Ravens,11,13,28,0,2007
Falcons  Falcons,7,18,26,0,2007
Redskins  Redskins,12,14,27,0,2008
Buccaneers  Buccaneers,13,18,38,1,2008
Seahawks  Seahawks,10,18,32,0,2008
49ers  49ers,10,21,36,1,2008
Chargers  Chargers,13,34,51,2,2008
Steelers  Steelers,16,19,38,0,2008
Cardinals  Cardinals,14,31,51,1,2008
Eagles  Eagles,15,23,45,0,2008
Jets  Jets,20,22,48,2,2008
Giants  Giants,19,23,45,1,2008
Saints  Saints,20,34,57,0,2008
Patriots  Patriots,21,21,43,2,2008
Vikings  Vikings,15,22,41,0,2008
Dolphins  Dolphins,18,20,40,0,2008
Raiders  Raiders,9,13,27,0,2008
Rams  Rams,8,11,20,0,2008
Chiefs  Chiefs,9,23,35,1,2008
Jaguars  Jaguars,17,15,35,0,2008
Colts  Colts,13,27,45,2,2008
Texans  Texans,16,21,40,1,2008
Titans  Titans,24,13,41,1,2008
Packers  Packers,11,28,48,2,2008
Lions  Lions,10,18,29,2,2008
Broncos  Broncos,15,25,42,2,2008
Cowboys  Cowboys,12,29,43,0,2008
Browns  Browns,6,11,20,2,2008
Bengals  Bengals,6,11,20,0,2008
Bears  Bears,15,20,42,1,2008
Panthers  Panthers,30,15,47,1,2008
Bills  Bills,16,14,35,1,2008
Ravens  Ravens,20,16,42,1,2008
Falcons  Falcons,23,16,43,1,2008
Redskins  Redskins,8,21,29,0,2009
Buccaneers  Buccaneers,5,18,28,2,2009
Seahawks  Seahawks,7,20,30,0,2009
49ers  49ers,12,23,39,0,2009
Chargers  Chargers,17,29,51,0,2009
Steelers  Steelers,10,28,41,0,2009
Cardinals  Cardinals,16,27,46,0,2009
Eagles  Eagles,14,27,47,2,2009
Jets  Jets,21,12,37,2,2009
Giants  Giants,14,28,46,0,2009
Saints  Saints,21,34,64,0,2009
Patriots  Patriots,19,28,50,1,2009
Vikings  Vikings,19,34,56,0,2009
Dolphins  Dolphins,22,15,41,1,2009
Raiders  Raiders,7,10,17,0,2009
Rams  Rams,4,12,17,0,2009
Chiefs  Chiefs,8,18,31,1,2009
Jaguars  Jaguars,19,15,34,1,2009
Colts  Colts,16,34,53,0,2009
Texans  Texans,13,29,46,1,2009
Titans  Titans,19,16,39,1,2009
Packers  Packers,20,30,54,3,2009
Lions  Lions,9,16,28,1,2009
Broncos  Broncos,9,21,34,0,2009
Cowboys  Cowboys,14,26,43,1,2009
Browns  Browns,10,11,25,1,2009
Bengals  Bengals,9,21,34,2,2009
Bears  Bears,6,27,36,2,2009
Panthers  Panthers,18,16,35,2,2009
Bills  Bills,6,17,25,0,2009
Ravens  Ravens,22,21,47,0,2009
Falcons  Falcons,15,26,44,0,2009
Redskins  Redskins,9,21,33,2,2010
Buccaneers  Buccaneers,9,26,39,1,2010
Seahawks  Seahawks,13,14,33,2,2010
49ers  49ers,10,19,34,1,2010
Chargers  Chargers,18,30,51,2,2010
Steelers  Steelers,15,22,41,2,2010
Cardinals  Cardinals,9,10,31,1,2010
Eagles  Eagles,18,28,49,1,2010
Jets  Jets,14,20,39,1,2010
Giants  Giants,17,31,48,1,2010
Saints  Saints,9,33,44,0,2010
Patriots  Patriots,19,37,65,0,2010
Vikings  Vikings,16,14,33,1,2010
Dolphins  Dolphins,8,17,26,0,2010
Raiders  Raiders,19,18,44,0,2010
Rams  Rams,9,18,27,0,2010
Chiefs  Chiefs,13,27,44,0,2010
Jaguars  Jaguars,14,26,41,0,2010
Colts  Colts,13,33,51,0,2010
Texans  Texans,20,24,44,1,2010
Titans  Titans,13,24,40,1,2010
Packers  Packers,11,31,46,0,2010
Lions  Lions,11,26,41,2,2010
Broncos  Broncos,13,25,40,0,2010
Cowboys  Cowboys,10,29,46,2,2010
Browns  Browns,13,13,29,0,2010
Bengals  Bengals,8,26,36,2,2010
Bears  Bears,10,23,37,1,2010
Panthers  Panthers,7,9,17,0,2010
Bills  Bills,6,24,34,0,2010
Ravens  Ravens,11,25,40,0,2010
Falcons  Falcons,14,28,47,2,2010
Redskins  Redskins,8,19,28,1,2011
Buccaneers  Buccaneers,9,17,30,2,2011
Seahawks  Seahawks,15,15,35,0,2011
49ers  49ers,14,18,35,1,2011
Chargers  Chargers,16,27,46,1,2011
Steelers  Steelers,13,21,36,0,2011
Cardinals  Cardinals,12,21,37,0,2011
Eagles  Eagles,20,22,46,0,2011
Jets  Jets,14,26,45,0,2011
Giants  Giants,17,29,47,4,2011
Saints  Saints,16,46,66,2,2011
Patriots  Patriots,18,39,61,2,2011
Vikings  Vikings,18,20,39,0,2011
Dolphins  Dolphins,11,20,33,0,2011
Raiders  Raiders,16,20,38,0,2011
Rams  Rams,7,9,18,0,2011
Chiefs  Chiefs,5,13,20,0,2011
Jaguars  Jaguars,9,12,25,0,2011
Colts  Colts,8,14,25,0,2011
Texans  Texans,18,20,41,0,2011
Titans  Titans,8,22,34,0,2011
Packers  Packers,12,51,70,0,2011
Lions  Lions,9,41,57,2,2011
Broncos  Broncos,11,20,36,3,2011
Cowboys  Cowboys,5,33,39,0,2011
Browns  Browns,4,16,21,0,2011
Bengals  Bengals,10,21,35,0,2011
Bears  Bears,10,18,38,1,2011
Panthers  Panthers,26,21,48,2,2011
Bills  Bills,12,24,43,1,2011
Ravens  Ravens,15,21,41,1,2011
Falcons  Falcons,14,29,46,0,2011
Redskins  Redskins,22,24,52,1,2012
Buccaneers  Buccaneers,13,27,44,1,2012
Seahawks  Seahawks,16,27,49,0,2012
49ers  49ers,17,23,44,0,2012
Chargers  Chargers,4,26,39,0,2012
Steelers  Steelers,8,27,36,1,2012
Cardinals  Cardinals,10,11,25,0,2012
Eagles  Eagles,10,18,29,0,2012
Jets  Jets,12,14,31,0,2012
Giants  Giants,18,26,47,1,2012
Saints  Saints,10,43,58,1,2012
Patriots  Patriots,25,34,67,0,2012
Vikings  Vikings,16,18,39,2,2012
Dolphins  Dolphins,15,13,31,2,2012
Raiders  Raiders,4,24,28,2,2012
Rams  Rams,5,22,32,5,2012
Chiefs  Chiefs,9,8,18,0,2012
Jaguars  Jaguars,5,20,26,3,2012
Colts  Colts,11,23,40,1,2012
Texans  Texans,19,22,46,0,2012
Titans  Titans,10,17,36,1,2012
Packers  Packers,9,40,53,1,2012
Lions  Lions,17,22,39,1,2012
Broncos  Broncos,12,37,57,1,2012
Cowboys  Cowboys,8,29,41,3,2012
Browns  Browns,12,16,31,0,2012
Bengals  Bengals,11,28,43,0,2012
Bears  Bears,11,21,42,1,2012
Panthers  Panthers,21,19,44,0,2012
Bills  Bills,12,24,40,0,2012
Ravens  Ravens,17,22,44,1,2012
Falcons  Falcons,12,32,46,0,2012
Redskins  Redskins,14,20,39,2,2013
Buccaneers  Buccaneers,6,22,31,0,2013
Seahawks  Seahawks,14,27,45,0,2013
49ers  49ers,18,21,44,0,2013
Chargers  Chargers,9,32,42,0,2013
Steelers  Steelers,9,28,41,1,2013
Cardinals  Cardinals,12,24,41,1,2013
Eagles  Eagles,19,32,53,3,2013
Jets  Jets,12,13,27,0,2013
Giants  Giants,11,18,32,1,2013
Saints  Saints,10,39,49,0,2013
Patriots  Patriots,19,25,47,2,2013
Vikings  Vikings,23,18,45,0,2013
Dolphins  Dolphins,8,24,34,0,2013
Raiders  Raiders,16,17,37,0,2013
Rams  Rams,10,22,38,3,2013
Chiefs  Chiefs,17,24,52,0,2013
Jaguars  Jaguars,7,16,25,0,2013
Colts  Colts,15,23,40,4,2013
Texans  Texans,7,19,28,1,2013
Titans  Titans,16,22,41,0,2013
Packers  Packers,17,25,46,0,2013
Lions  Lions,15,29,48,2,2013
Broncos  Broncos,16,55,76,0,2013
Cowboys  Cowboys,12,33,51,1,2013
Browns  Browns,4,26,35,1,2013
Bengals  Bengals,14,33,54,0,2013
Bears  Bears,13,32,52,5,2013
Panthers  Panthers,14,24,42,0,2013
Bills  Bills,15,16,34,2,2013
Ravens  Ravens,7,19,29,3,2013
Falcons  Falcons,11,26,40,1,2013
Redskins  Redskins,15,18,33,0,2014
Buccaneers  Buccaneers,7,21,31,0,2014
Seahawks  Seahawks,20,20,43,0,2014
49ers  49ers,10,20,33,0,2014
Chargers  Chargers,6,31,40,0,2014
Steelers  Steelers,10,33,49,4,2014
Cardinals  Cardinals,6,21,32,2,2014
Eagles  Eagles,16,27,54,0,2014
Jets  Jets,11,16,27,0,2014
Giants  Giants,13,30,44,0,2014
Saints  Saints,16,33,49,0,2014
Patriots  Patriots,13,34,52,0,2014
Vikings  Vikings,12,17,35,4,2014
Dolphins  Dolphins,12,27,42,1,2014
Raiders  Raiders,4,22,28,0,2014
Rams  Rams,11,20,36,1,2014
Chiefs  Chiefs,18,18,40,0,2014
Jaguars  Jaguars,9,15,27,1,2014
Colts  Colts,9,42,53,0,2014
Texans  Texans,12,22,40,0,2014
Titans  Titans,6,20,28,0,2014
Packers  Packers,14,38,58,1,2014
Lions  Lions,11,22,35,1,2014
Broncos  Broncos,15,40,58,2,2014
Cowboys  Cowboys,16,37,56,0,2014
Browns  Browns,17,12,32,0,2014
Bengals  Bengals,19,20,40,1,2014
Bears  Bears,8,30,40,5,2014
Panthers  Panthers,10,23,36,1,2014
Bills  Bills,7,23,34,2,2014
Ravens  Ravens,16,27,46,1,2014
Falcons  Falcons,11,28,42,1,2014
Redskins  Redskins,9,30,44,2,2015
Buccaneers  Buccaneers,12,22,37,1,2015
Seahawks  Seahawks,10,34,49,1,2015
49ers  49ers,7,16,24,1,2015
Chargers  Chargers,4,30,35,2,2015
Steelers  Steelers,16,26,45,8,2015
Cardinals  Cardinals,16,35,58,0,2015
Eagles  Eagles,15,23,45,0,2015
Jets  Jets,11,33,44,0,2015
Giants  Giants,5,36,47,1,2015
Saints  Saints,16,32,51,1,2015
Patriots  Patriots,14,36,52,0,2015
Vikings  Vikings,18,14,38,1,2015
Dolphins  Dolphins,11,24,39,2,2015
Raiders  Raiders,7,34,42,1,2015
Rams  Rams,16,11,31,1,2015
Chiefs  Chiefs,19,20,45,2,2015
Jaguars  Jaguars,5,35,44,1,2015
Colts  Colts,6,26,37,1,2015
Texans  Texans,7,29,39,2,2015
Titans  Titans,10,25,37,3,2015
Packers  Packers,8,31,42,4,2015
Lions  Lions,7,33,42,0,2015
Broncos  Broncos,13,19,38,0,2015
Cowboys  Cowboys,8,16,26,1,2015
Browns  Browns,5,20,28,2,2015
Bengals  Bengals,18,31,50,1,2015
Bears  Bears,13,21,34,2,2015
Panthers  Panthers,19,35,59,0,2015
Bills  Bills,19,23,45,2,2015
Ravens  Ravens,8,21,33,1,2015
Falcons  Falcons,13,21,38,1,2015
Redskins  Redskins,17,25,43,0,2016
Buccaneers  Buccaneers,8,29,41,4,2016
Seahawks  Seahawks,13,23,37,1,2016
49ers  49ers,15,21,36,2,2016
Chargers  Chargers,10,33,48,0,2016
Steelers  Steelers,13,33,47,3,2016
Cardinals  Cardinals,20,28,51,1,2016
Eagles  Eagles,16,16,37,4,2016
Jets  Jets,10,16,28,1,2016
Giants  Giants,6,26,36,0,2016
Saints  Saints,17,38,55,2,2016
Patriots  Patriots,19,32,51,1,2016
Vikings  Vikings,9,20,36,1,2016
Dolphins  Dolphins,14,27,45,1,2016
Raiders  Raiders,17,29,47,5,2016
Rams  Rams,9,14,24,0,2016
Chiefs  Chiefs,15,19,42,2,2016
Jaguars  Jaguars,8,24,34,2,2016
Colts  Colts,13,32,47,2,2016
Texans  Texans,8,15,25,0,2016
Titans  Titans,16,29,46,0,2016
Packers  Packers,11,40,51,2,2016
Lions  Lions,9,24,36,1,2016
Broncos  Broncos,11,20,35,1,2016
Cowboys  Cowboys,24,25,49,0,2016
Browns  Browns,13,15,29,2,2016
Bengals  Bengals,17,18,35,0,2016
Bears  Bears,10,19,32,0,2016
Panthers  Panthers,16,21,40,3,2016
Bills  Bills,29,17,49,4,2016
Ravens  Ravens,10,20,32,4,2016
Falcons  Falcons,20,38,63,2,2016
Redskins  Redskins,10,27,39,0,2017
Buccaneers  Buccaneers,8,26,38,2,2017
Seahawks  Seahawks,4,34,43,2,2017
49ers  49ers,15,15,31,0,2017
Chargers  Chargers,10,28,43,0,2017
Steelers  Steelers,12,29,43,2,2017
Cardinals  Cardinals,6,21,29,1,2017
Eagles  Eagles,9,38,53,6,2017
Jets  Jets,13,19,32,1,2017
Giants  Giants,6,20,28,1,2017
Saints  Saints,23,23,51,1,2017
Patriots  Patriots,16,32,49,2,2017
Vikings  Vikings,15,25,41,2,2017
Dolphins  Dolphins,4,24,31,1,2017
Raiders  Raiders,13,23,36,2,2017
Rams  Rams,17,28,51,0,2017
Chiefs  Chiefs,12,26,42,0,2017
Jaguars  Jaguars,18,21,47,3,2017
Colts  Colts,11,13,25,0,2017
Texans  Texans,8,28,40,2,2017
Titans  Titans,18,14,33,0,2017
Packers  Packers,13,25,40,1,2017
Lions  Lions,10,29,46,2,2017
Broncos  Broncos,8,19,31,2,2017
Cowboys  Cowboys,18,22,42,0,2017
Browns  Browns,11,15,27,1,2017
Bengals  Bengals,6,25,34,0,2017
Bears  Bears,13,13,31,1,2017
Panthers  Panthers,15,22,40,1,2017
Bills  Bills,12,16,31,0,2017
Ravens  Ravens,14,20,42,1,2017
Falcons  Falcons,12,21,36,0,2017
Redskins  Redskins,12,16,29,2,2018
Buccaneers  Buccaneers,11,36,49,1,2018
Seahawks  Seahawks,15,35,52,1,2018
49ers  49ers,7,26,35,2,2018
Chargers  Chargers,16,32,51,6,2018
Steelers  Steelers,16,35,54,4,2018
Cardinals  Cardinals,9,15,27,2,2018
Eagles  Eagles,12,29,41,5,2018
Jets  Jets,11,18,34,0,2018
Giants  Giants,13,23,39,4,2018
Saints  Saints,26,33,60,4,2018
Patriots  Patriots,18,29,51,0,2018
Vikings  Vikings,9,30,42,3,2018
Dolphins  Dolphins,7,26,38,1,2018
Raiders  Raiders,9,19,30,1,2018
Rams  Rams,23,32,60,5,2018
Chiefs  Chiefs,16,50,71,1,2018
Jaguars  Jaguars,7,15,25,0,2018
Colts  Colts,13,39,52,4,2018
Texans  Texans,12,26,42,0,2018
Titans  Titans,15,16,34,0,2018
Packers  Packers,14,25,41,3,2018
Lions  Lions,11,22,35,0,2018
Broncos  Broncos,18,19,39,0,2018
Cowboys  Cowboys,13,22,36,2,2018
Browns  Browns,15,29,44,4,2018
Bengals  Bengals,13,27,45,1,2018
Bears  Bears,16,28,50,4,2018
Panthers  Panthers,17,28,46,2,2018
Bills  Bills,15,13,29,1,2018
Ravens  Ravens,19,18,41,1,2018
Falcons  Falcons,11,36,49,2,2018
Redskins  Redskins,9,18,28,1,2019
Buccaneers  Buccaneers,15,33,54,5,2019
Seahawks  Seahawks,15,31,49,1,2019
49ers  49ers,23,28,56,2,2019
Chargers  Chargers,12,24,37,1,2019
Steelers  Steelers,7,18,29,0,2019
Cardinals  Cardinals,18,20,38,3,2019
Eagles  Eagles,16,27,46,4,2019
Jets  Jets,6,19,31,3,2019
Giants  Giants,11,30,44,2,2019
Saints  Saints,12,36,52,0,2019
Patriots  Patriots,17,25,49,2,2019
Vikings  Vikings,19,26,47,1,2019
Dolphins  Dolphins,10,22,34,1,2019
Raiders  Raiders,13,22,37,0,2019
Rams  Rams,20,22,46,1,2019
Chiefs  Chiefs,16,30,50,1,2019
Jaguars  Jaguars,3,24,29,4,2019
Colts  Colts,17,22,42,2,2019
Texans  Texans,17,27,46,1,2019
Titans  Titans,21,29,54,1,2019
Packers  Packers,18,26,44,3,2019
Lions  Lions,7,28,38,0,2019
Broncos  Broncos,11,16,28,1,2019
Cowboys  Cowboys,18,30,49,2,2019
Browns  Browns,15,22,38,1,2019
Bengals  Bengals,9,18,28,2,2019
Bears  Bears,8,20,30,1,2019
Panthers  Panthers,20,17,38,1,2019
Bills  Bills,13,21,35,3,2019
Ravens  Ravens,21,37,64,2,2019
Falcons  Falcons,10,29,42,2,2019
Football Team  Football Team,18,16,37,0,2020
Buccaneers  Buccaneers,16,42,59,0,2020
Seahawks  Seahawks,15,40,55,1,2020
49ers  49ers,19,25,45,1,2020
Chargers  Chargers,12,31,45,2,2020
Steelers  Steelers,12,35,50,2,2020
Cardinals  Cardinals,22,27,49,0,2020
Eagles  Eagles,16,22,42,7,2020
Jets  Jets,9,16,26,1,2020
Giants  Giants,13,12,27,2,2020
Saints  Saints,30,28,59,0,2020
Patriots  Patriots,20,12,36,1,2020
Vikings  Vikings,20,35,55,8,2020
Dolphins  Dolphins,15,24,42,4,2020
Raiders  Raiders,20,28,48,1,2020
Rams  Rams,19,20,43,1,2020
Chiefs  Chiefs,13,40,57,3,2020
Jaguars  Jaguars,9,25,37,3,2020
Colts  Colts,20,24,50,3,2020
Texans  Texans,10,33,44,1,2020
Titans  Titans,26,33,62,4,2020
Packers  Packers,16,48,66,2,2020
Lions  Lions,17,27,45,2,2020
Broncos  Broncos,13,21,35,2,2020
Cowboys  Cowboys,14,25,42,4,2020
Browns  Browns,21,27,50,2,2020
Bengals  Bengals,13,19,33,0,2020
Bears  Bears,12,26,40,2,2020
Panthers  Panthers,19,16,38,1,2020
Bills  Bills,16,40,60,0,2020
Ravens  Ravens,24,27,55,2,2020
Falcons  Falcons,13,27,41,1,2020
