Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM,P Blk,Year
Falcons  Falcons,8.3,30,250,0,3,0,25,13,3,0,2013
Redskins  Redskins,7.2,29,208,0,3,0,37,27,2,0,2014
Buccaneers  Buccaneers,10.8,23,249,0,3,1,53,17,4,0,2014
Seahawks  Seahawks,7.0,36,252,0,4,0,38,28,1,2,2014
49ers  49ers,6.5,35,227,0,3,0,23,13,2,1,2014
Chargers  Chargers,8.8,23,203,0,2,1,58,18,1,1,2014
Steelers  Steelers,10.0,32,321,1,3,1,71T,16,1,0,2014
Cardinals  Cardinals,10.7,26,277,1,2,2,71T,24,2,0,2014
Eagles  Eagles,13.0,41,531,2,6,3,82T,21,2,4,2014
Jets  Jets,6.3,43,273,0,2,1,41,20,4,0,2014
Giants  Giants,7.7,29,224,0,3,0,25,27,1,1,2014
Saints  Saints,7.1,19,134,0,2,0,32,26,1,0,2014
Patriots  Patriots,10.5,41,431,1,6,2,84T,11,1,1,2014
Vikings  Vikings,11.0,27,297,0,4,0,35,26,0,2,2014
Dolphins  Dolphins,8.2,25,204,0,3,0,32,19,4,3,2014
Raiders  Raiders,7.1,37,261,0,4,0,27,17,2,1,2014
Rams  Rams,13.0,37,482,2,7,3,90T,24,5,1,2014
Chiefs  Chiefs,12.1,50,605,1,12,3,81T,4,1,0,2014
Jaguars  Jaguars,7.1,37,264,0,1,0,23,15,2,0,2014
Colts  Colts,6.9,45,312,0,1,0,22,25,3,1,2014
Texans  Texans,6.1,34,208,0,1,0,21,28,1,1,2014
Titans  Titans,6.9,30,207,0,2,1,48,18,2,0,2014
Packers  Packers,11.5,29,333,2,5,2,75T,12,1,0,2014
Lions  Lions,8.9,32,284,0,3,0,28,37,2,0,2014
Broncos  Broncos,7.2,41,296,0,2,0,22,28,3,0,2014
Cowboys  Cowboys,9.2,30,275,0,3,0,38,13,4,0,2014
Browns  Browns,6.7,27,181,0,2,0,37,25,4,1,2014
Bengals  Bengals,11.0,40,439,0,8,3,49,15,2,1,2014
Bears  Bears,5.2,21,109,0,1,0,22,13,1,0,2014
Panthers  Panthers,8.0,30,239,1,2,1,79T,26,5,0,2014
Bills  Bills,9.6,37,354,1,4,1,75T,18,3,2,2014
Ravens  Ravens,9.1,32,292,0,5,1,45,23,3,1,2014
Falcons  Falcons,13.3,18,239,1,4,2,68,11,1,0,2014
Redskins  Redskins,4.8,32,153,0,0,0,16,17,3,1,2015
Buccaneers  Buccaneers,9.9,29,288,0,4,1,58,14,7,1,2015
Seahawks  Seahawks,10.7,42,450,1,6,4,66,22,2,0,2015
49ers  49ers,7.5,30,226,0,3,0,37,23,4,0,2015
Chargers  Chargers,4.2,20,84,0,0,0,18,26,3,0,2015
Steelers  Steelers,8.3,28,231,1,2,1,71T,17,4,0,2015
Cardinals  Cardinals,7.4,39,289,0,2,0,38,22,6,0,2015
Eagles  Eagles,11.4,39,443,2,4,3,89T,18,1,1,2015
Jets  Jets,8.6,49,422,0,2,1,58,22,1,0,2015
Giants  Giants,10.2,36,367,1,5,1,80T,9,3,1,2015
Saints  Saints,8.6,32,275,1,3,1,74T,13,3,1,2015
Patriots  Patriots,10.1,47,473,0,6,1,82,18,3,0,2015
Vikings  Vikings,9.1,34,311,1,4,1,65T,15,2,0,2015
Dolphins  Dolphins,10.3,41,424,1,6,1,69T,16,1,1,2015
Raiders  Raiders,6.5,42,272,0,4,0,25,13,2,0,2015
Rams  Rams,7.7,39,300,1,4,1,75T,15,3,0,2015
Chiefs  Chiefs,7.9,45,355,0,3,0,37,9,4,1,2015
Jaguars  Jaguars,11.6,31,361,1,5,2,73T,16,3,1,2015
Colts  Colts,6.9,39,268,0,3,0,33,28,4,0,2015
Texans  Texans,7.3,52,377,0,1,0,20,23,3,0,2015
Titans  Titans,8.1,38,307,0,2,0,37,17,2,0,2015
Packers  Packers,5.4,31,167,0,0,0,16,23,2,0,2015
Lions  Lions,7.0,30,209,0,3,0,28,22,3,0,2015
Broncos  Broncos,9.8,29,283,1,2,1,83T,26,3,0,2015
Cowboys  Cowboys,5.5,33,183,0,2,0,28,21,2,1,2015
Browns  Browns,11.2,29,325,1,4,1,78T,10,2,1,2015
Bengals  Bengals,8.1,43,350,0,1,0,35,12,1,0,2015
Bears  Bears,7.8,31,242,0,2,0,34,22,3,0,2015
Panthers  Panthers,9.4,30,282,0,3,0,37,25,0,0,2015
Bills  Bills,7.5,31,232,0,1,0,27,22,5,0,2015
Ravens  Ravens,11.3,40,450,1,5,2,82T,15,2,1,2015
Falcons  Falcons,9.4,27,255,0,2,1,41,20,0,0,2015
Redskins  Redskins,11.9,29,344,1,4,2,85T,16,1,0,2016
Buccaneers  Buccaneers,9.2,29,266,0,2,0,25,22,3,0,2016
Seahawks  Seahawks,8.3,30,249,0,3,1,62,28,0,1,2016
49ers  49ers,9.4,23,216,0,5,0,29,36,4,0,2016
Chargers  Chargers,6.6,32,212,0,2,0,21,12,2,0,2016
Steelers  Steelers,8.4,22,185,0,2,0,33,19,2,0,2016
Cardinals  Cardinals,6.1,38,230,0,1,0,32,24,2,0,2016
Eagles  Eagles,12.9,19,246,0,3,2,66,13,1,1,2016
Jets  Jets,5.5,27,149,0,1,0,27,28,4,0,2016
Giants  Giants,6.1,45,275,0,0,0,19,17,5,0,2016
Saints  Saints,9.6,23,221,0,4,1,59,17,3,0,2016
Patriots  Patriots,6.9,45,309,0,2,0,30,18,7,0,2016
Vikings  Vikings,10.4,34,354,2,5,2,79T,22,3,0,2016
Dolphins  Dolphins,9.1,36,328,1,2,1,74T,18,5,1,2016
Raiders  Raiders,9.3,41,380,0,3,1,47,13,0,0,2016
Rams  Rams,7.5,49,369,0,4,1,47,19,3,1,2016
Chiefs  Chiefs,14.8,40,592,2,8,3,95T,8,3,0,2016
Jaguars  Jaguars,5.5,40,220,0,1,1,42,24,6,1,2016
Colts  Colts,8.3,22,182,0,3,0,30,22,2,0,2016
Texans  Texans,10.9,39,427,1,3,2,67T,29,3,0,2016
Titans  Titans,7.9,30,236,0,0,0,18,22,2,0,2016
Packers  Packers,9.0,26,235,0,4,1,55,21,4,0,2016
Lions  Lions,12.3,20,246,2,3,2,85T,16,2,0,2016
Broncos  Broncos,8.5,37,316,0,3,0,25,26,5,0,2016
Cowboys  Cowboys,7.1,28,198,0,2,0,39,15,1,0,2016
Browns  Browns,6.7,30,200,0,0,0,18,13,1,0,2016
Bengals  Bengals,6.5,38,246,0,1,0,24,19,6,0,2016
Bears  Bears,8.0,27,215,1,2,1,65T,27,2,0,2016
Panthers  Panthers,7.0,29,202,0,0,0,19,24,2,0,2016
Bills  Bills,11.2,28,314,0,8,1,43,17,0,1,2016
Ravens  Ravens,7.7,32,246,0,2,0,28,21,4,1,2016
Falcons  Falcons,11.4,24,273,0,2,2,73,21,0,0,2016
Redskins  Redskins,6.1,29,178,0,1,0,29,22,5,0,2017
Buccaneers  Buccaneers,9.6,20,192,0,1,1,44,14,1,0,2017
Seahawks  Seahawks,6.6,36,237,0,2,0,27,21,0,0,2017
49ers  49ers,8.9,34,304,0,2,0,39,17,1,0,2017
Chargers  Chargers,9.3,28,259,1,4,2,65T,26,2,0,2017
Steelers  Steelers,6.9,30,207,0,2,0,27,20,2,1,2017
Cardinals  Cardinals,7.0,41,288,0,1,0,20,30,0,0,2017
Eagles  Eagles,8.9,29,259,0,2,1,76,20,4,1,2017
Jets  Jets,4.5,38,171,0,1,0,25,22,6,0,2017
Giants  Giants,5.5,27,148,0,1,0,20,23,2,0,2017
Saints  Saints,6.4,34,218,0,1,0,24,23,4,1,2017
Patriots  Patriots,8.2,32,263,0,3,1,40,21,1,1,2017
Vikings  Vikings,9.5,39,372,0,3,1,46,26,1,0,2017
Dolphins  Dolphins,7.3,37,271,0,2,0,27,14,1,1,2017
Raiders  Raiders,5.7,27,155,0,0,0,19,21,7,0,2017
Rams  Rams,10.2,45,458,0,8,2,53,11,6,3,2017
Chiefs  Chiefs,6.3,35,220,1,3,1,82T,10,4,0,2017
Jaguars  Jaguars,9.6,34,325,1,3,2,72,30,3,0,2017
Colts  Colts,6.0,27,162,0,2,0,30,13,1,1,2017
Texans  Texans,8.5,35,296,0,4,1,49,20,3,0,2017
Titans  Titans,8.5,36,305,0,3,1,46,9,1,0,2017
Packers  Packers,10.7,27,289,0,3,1,65,22,2,0,2017
Lions  Lions,14.0,37,517,2,6,2,88T,22,4,0,2017
Broncos  Broncos,8.6,41,351,0,5,1,44,22,8,1,2017
Cowboys  Cowboys,8.9,31,275,1,2,1,83T,15,1,0,2017
Browns  Browns,5.8,38,221,0,1,0,25,19,7,0,2017
Bengals  Bengals,8.7,47,409,0,6,1,40,19,6,1,2017
Bears  Bears,10.5,32,337,2,4,2,61T,16,1,0,2017
Panthers  Panthers,8.0,40,318,1,2,1,60T,17,3,0,2017
Bills  Bills,8.9,24,213,0,2,1,40,13,2,0,2017
Ravens  Ravens,10.1,32,322,1,2,1,77T,27,4,0,2017
Falcons  Falcons,7.4,27,201,0,1,0,27,21,2,0,2017
Redskins  Redskins,6.5,17,110,0,1,0,30,23,2,0,2018
Buccaneers  Buccaneers,6.3,26,163,0,0,0,16,15,2,0,2018
Seahawks  Seahawks,5.7,25,143,0,0,0,19,20,1,0,2018
49ers  49ers,5.8,31,180,0,1,0,23,18,5,0,2018
Chargers  Chargers,10.5,34,358,1,6,2,73T,15,4,0,2018
Steelers  Steelers,8.1,31,252,0,3,0,23,26,3,1,2018
Cardinals  Cardinals,8.2,36,295,0,3,2,45,21,1,1,2018
Eagles  Eagles,6.5,33,216,0,2,1,42,11,5,0,2018
Jets  Jets,13.0,25,324,1,3,3,78T,28,3,1,2018
Giants  Giants,6.2,37,231,0,2,0,23,13,4,0,2018
Saints  Saints,6.5,24,157,0,0,0,17,18,2,2,2018
Patriots  Patriots,7.7,26,199,0,3,0,25,15,2,2,2018
Vikings  Vikings,10.9,29,315,0,6,1,70,21,1,0,2018
Dolphins  Dolphins,10.5,28,293,1,3,1,71T,16,4,1,2018
Raiders  Raiders,11.6,25,291,1,2,2,99T,19,2,0,2018
Rams  Rams,10.2,30,307,0,4,1,60,15,2,2,2018
Chiefs  Chiefs,11.9,22,261,1,3,2,91T,3,1,1,2018
Jaguars  Jaguars,9.8,34,334,1,6,2,74T,16,2,0,2018
Colts  Colts,9.0,24,217,0,3,1,51,28,1,0,2018
Texans  Texans,8.6,38,327,0,3,0,30,16,3,1,2018
Titans  Titans,8.8,27,237,0,2,0,38,11,4,0,2018
Packers  Packers,6.6,30,198,0,2,0,24,19,8,1,2018
Lions  Lions,6.3,27,171,0,1,0,25,20,2,0,2018
Broncos  Broncos,4.4,30,132,0,1,0,20,17,0,1,2018
Cowboys  Cowboys,5.7,21,119,0,1,0,22,25,0,0,2018
Browns  Browns,9.1,32,290,0,3,0,37,24,2,0,2018
Bengals  Bengals,10.7,22,236,0,3,0,38,21,2,1,2018
Bears  Bears,12.5,33,411,0,7,2,44,21,4,0,2018
Panthers  Panthers,6.9,24,165,0,1,0,30,16,2,0,2018
Bills  Bills,6.7,31,207,0,2,0,31,17,4,0,2018
Ravens  Ravens,11.5,35,404,1,5,3,70T,29,4,0,2018
Falcons  Falcons,7.0,21,147,0,0,0,18,24,1,1,2018
Redskins  Redskins,4.7,22,104,0,0,0,15,13,0,1,2019
Buccaneers  Buccaneers,5.2,33,172,0,1,1,40,17,4,0,2019
Seahawks  Seahawks,6.1,23,141,0,1,0,20,20,1,1,2019
49ers  49ers,8.0,33,264,0,1,0,32,11,0,0,2019
Chargers  Chargers,5.4,22,118,1,1,1,68T,17,5,0,2019
Steelers  Steelers,9.8,29,285,1,1,1,85T,19,2,0,2019
Cardinals  Cardinals,7.0,24,168,0,2,0,29,20,0,0,2019
Eagles  Eagles,5.9,27,160,0,0,0,17,23,3,0,2019
Jets  Jets,11.4,21,240,0,3,0,26,32,1,1,2019
Giants  Giants,9.8,28,274,0,2,2,60,14,3,1,2019
Saints  Saints,9.2,40,368,1,5,1,53T,12,3,1,2019
Patriots  Patriots,8.0,29,233,0,2,0,22,26,1,4,2019
Vikings  Vikings,6.8,28,191,0,1,0,23,18,6,1,2019
Dolphins  Dolphins,6.6,27,177,0,1,0,21,13,4,0,2019
Raiders  Raiders,7.0,27,190,0,1,0,32,22,2,0,2019
Rams  Rams,6.3,27,170,0,2,0,35,26,1,0,2019
Chiefs  Chiefs,6.9,32,222,0,2,0,36,7,2,0,2019
Jaguars  Jaguars,5.0,31,154,0,2,1,43,18,2,0,2019
Colts  Colts,17.4,24,418,2,5,3,84T,21,2,0,2019
Texans  Texans,9.7,22,214,0,1,0,23,18,2,0,2019
Titans  Titans,7.7,22,169,0,1,0,21,30,2,0,2019
Packers  Packers,4.9,20,98,0,0,0,18,31,3,0,2019
Lions  Lions,7.9,31,246,1,3,1,64T,22,1,0,2019
Broncos  Broncos,7.7,27,208,0,2,1,42,29,2,0,2019
Cowboys  Cowboys,5.7,23,131,0,0,0,15,20,0,0,2019
Browns  Browns,7.1,23,163,0,0,0,18,15,3,0,2019
Bengals  Bengals,5.7,29,164,0,0,0,17,17,3,0,2019
Bears  Bears,9.2,33,302,0,3,1,71,19,2,0,2019
Panthers  Panthers,6.8,25,171,0,1,0,39,16,5,1,2019
Bills  Bills,7.6,32,243,0,1,0,22,21,1,0,2019
Ravens  Ravens,8.2,25,206,0,2,0,25,17,2,0,2019
Falcons  Falcons,7.1,37,263,1,2,1,78T,1,5,0,2019
Football Team  Football Team,5.7,31,176,0,2,0,22,26,7,0,2020
Buccaneers  Buccaneers,5.9,30,176,0,1,0,21,14,0,1,2020
Seahawks  Seahawks,8.6,22,189,0,1,0,20,22,2,1,2020
49ers  49ers,9.0,25,226,0,2,0,21,26,3,0,2020
Chargers  Chargers,5.6,18,100,0,1,0,30,15,1,0,2020
Steelers  Steelers,9.6,37,356,0,2,2,57,22,3,0,2020
Cardinals  Cardinals,5.4,25,136,0,2,0,24,15,1,2,2020
Eagles  Eagles,8.8,26,230,1,2,1,73T,27,3,0,2020
Jets  Jets,8.6,10,86,0,0,0,18,29,0,2,2020
Giants  Giants,11.4,20,228,0,3,0,20,16,0,0,2020
Saints  Saints,10.2,39,399,0,2,1,42,18,2,0,2020
Patriots  Patriots,15.5,23,357,1,4,3,70T,16,1,0,2020
Vikings  Vikings,4.3,16,69,0,0,0,13,11,4,0,2020
Dolphins  Dolphins,11.1,32,354,1,3,1,88T,9,3,1,2020
Raiders  Raiders,11.5,23,265,0,3,0,32,10,1,0,2020
Rams  Rams,6.9,34,235,0,1,0,34,28,4,0,2020
Chiefs  Chiefs,5.8,28,163,1,1,1,67T,15,3,0,2020
Jaguars  Jaguars,11.4,18,205,1,1,1,91T,12,1,1,2020
Colts  Colts,10.1,31,312,0,3,0,26,15,0,1,2020
Texans  Texans,7.9,20,158,0,0,0,19,11,2,1,2020
Titans  Titans,9.0,23,208,0,2,1,40,12,0,0,2020
Packers  Packers,4.8,11,53,0,0,0,11,19,1,0,2020
Lions  Lions,12.8,17,217,1,2,1,74T,17,2,3,2020
Broncos  Broncos,13.4,20,267,1,3,2,83T,25,3,0,2020
Cowboys  Cowboys,9.1,29,265,0,4,1,73,14,1,0,2020
Browns  Browns,4.8,24,115,0,0,0,13,11,0,0,2020
Bengals  Bengals,10.1,23,232,0,3,0,29,20,1,0,2020
Bears  Bears,7.6,25,190,0,1,0,32,14,3,0,2020
Panthers  Panthers,5.9,20,117,0,1,0,20,18,1,0,2020
Bills  Bills,11.9,31,370,1,5,1,84T,13,2,0,2020
Ravens  Ravens,9.0,27,244,0,1,0,20,18,0,0,2020
Falcons  Falcons,8.9,17,152,0,2,0,24,23,0,0,2020
