Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk,Year
Falcons  Falcons,41.1,2875,68,45.2,63,3166,26,1,9,2,23,33,251,0,2,2013
Redskins  Redskins,40.0,3122,77,46.9,77,3659,22,6,12,7,10,42,397,1,1,2014
Buccaneers  Buccaneers,37.1,2929,78,39.9,56,3154,17,6,12,2,26,32,185,1,1,2014
Seahawks  Seahawks,38.3,2373,61,43.4,66,2688,28,9,7,6,22,17,195,1,1,2014
49ers  49ers,39.6,2893,72,46.2,71,3369,28,4,3,7,22,36,336,1,1,2014
Chargers  Chargers,38.1,2860,74,44.9,72,3366,23,8,9,7,15,35,366,0,1,2014
Steelers  Steelers,38.2,2367,61,43.0,74,2668,20,3,9,4,18,27,221,0,1,2014
Cardinals  Cardinals,37.1,3411,90,41.5,67,3815,35,7,8,6,37,32,284,0,2,2014
Eagles  Eagles,38.9,2953,76,43.8,68,3331,34,5,13,7,22,29,238,1,0,2014
Jets  Jets,39.9,3150,78,45.3,69,3580,23,12,9,9,23,25,250,0,1,2014
Giants  Giants,38.6,3129,80,44.9,71,3640,25,5,15,6,17,37,391,1,1,2014
Saints  Saints,42.9,2491,58,46.4,63,2690,19,6,10,5,13,24,99,0,0,2014
Patriots  Patriots,39.9,2673,66,45.7,67,3060,25,6,10,6,15,29,267,0,1,2014
Vikings  Vikings,38.7,2943,75,43.7,62,3318,21,2,9,6,19,39,255,0,1,2014
Dolphins  Dolphins,38.6,2279,58,45.6,60,2688,21,5,3,3,11,36,349,0,1,2014
Raiders  Raiders,40.0,4357,109,45.2,62,4930,31,5,21,3,33,47,513,1,0,2014
Rams  Rams,42.3,3429,80,45.9,61,3721,33,10,10,5,27,28,192,0,1,2014
Chiefs  Chiefs,40.5,2874,71,44.6,69,3164,31,4,13,5,20,29,190,0,0,2014
Jaguars  Jaguars,39.6,3800,94,46.5,69,4464,25,7,5,10,20,52,464,0,2,2014
Colts  Colts,42.8,2956,69,46.7,61,3221,30,7,5,3,19,35,205,0,0,2014
Texans  Texans,38.7,3249,83,45.8,71,3847,27,4,13,10,24,32,398,0,1,2014
Titans  Titans,40.8,3628,88,46.3,79,4118,28,7,6,7,25,43,350,0,1,2014
Packers  Packers,37.0,1888,49,42.3,63,2159,14,5,8,4,10,22,191,1,2,2014
Lions  Lions,40.1,2727,68,46.1,71,3138,29,2,10,5,21,30,311,1,0,2014
Broncos  Broncos,37.6,2597,69,44.2,65,3048,25,6,7,4,19,33,371,1,0,2014
Cowboys  Cowboys,39.8,2306,57,44.6,64,2586,21,11,4,2,15,25,240,0,1,2014
Browns  Browns,39.2,3644,93,44.3,59,4119,25,5,11,9,26,42,295,0,0,2014
Bengals  Bengals,42.1,3073,73,46.8,69,3419,27,8,14,6,15,30,226,1,0,2014
Bears  Bears,37.7,2712,71,43.2,61,3107,20,9,7,3,19,33,335,1,1,2014
Panthers  Panthers,36.5,2701,72,43.7,72,3236,26,6,13,5,20,28,435,1,2,2014
Bills  Bills,38.7,3326,86,42.9,67,3692,31,11,11,6,20,38,246,0,0,2014
Ravens  Ravens,43.3,2595,60,47.4,73,2841,26,11,8,4,14,23,166,0,0,2014
Falcons  Falcons,40.8,2733,67,45.7,66,3063,27,6,3,4,28,26,250,0,0,2014
Redskins  Redskins,39.8,2826,70,45.4,64,3224,21,5,14,7,14,30,258,1,1,2015
Buccaneers  Buccaneers,38.0,2128,56,41.9,60,2348,15,3,7,4,15,27,140,0,0,2015
Seahawks  Seahawks,37.9,2579,68,45.7,73,3105,24,4,8,7,20,29,386,1,0,2015
49ers  49ers,39.5,3634,92,43.7,62,4017,31,13,8,5,22,44,283,0,0,2015
Chargers  Chargers,38.2,2789,72,44.7,68,3261,15,4,8,2,14,44,432,0,1,2015
Steelers  Steelers,39.1,2306,59,42.6,79,2511,28,5,12,2,21,19,165,0,0,2015
Cardinals  Cardinals,35.4,2160,60,42.2,58,2575,22,2,8,6,19,25,295,0,1,2015
Eagles  Eagles,41.6,3663,86,45.9,64,4038,29,1,12,8,23,42,215,0,2,2015
Jets  Jets,36.2,2898,79,43.1,68,3448,27,15,9,4,14,37,470,2,1,2015
Giants  Giants,38.9,2960,76,44.5,64,3380,33,2,17,6,21,30,300,0,0,2015
Saints  Saints,39.9,2671,67,44.9,58,3006,25,15,4,6,16,26,215,0,0,2015
Patriots  Patriots,39.9,2951,73,45.4,67,3358,31,11,6,3,14,39,347,1,1,2015
Vikings  Vikings,37.8,2494,66,41.6,61,2746,23,3,8,5,21,29,152,0,0,2015
Dolphins  Dolphins,39.7,3654,92,47.6,70,4380,30,9,8,10,15,50,526,0,0,2015
Raiders  Raiders,40.7,3416,83,44.0,70,3697,40,9,21,4,19,30,201,0,1,2015
Rams  Rams,43.7,4192,96,47.9,68,4601,41,8,17,6,25,40,289,1,0,2015
Chiefs  Chiefs,40.8,3063,75,44.4,62,3333,37,9,14,5,21,26,170,0,0,2015
Jaguars  Jaguars,39.5,3158,80,46.3,63,3700,26,3,6,4,22,45,462,0,0,2015
Colts  Colts,41.7,3546,85,47.7,63,4052,28,7,13,6,23,36,386,3,0,2015
Texans  Texans,38.6,3701,96,47.2,64,4533,24,2,8,11,15,60,612,0,0,2015
Titans  Titans,40.3,3550,88,47.4,61,4175,34,11,6,1,23,47,605,1,0,2015
Packers  Packers,40.2,3260,81,43.9,62,3554,18,14,6,6,14,41,174,0,0,2015
Lions  Lions,42.0,3356,80,46.0,66,3679,25,4,10,3,20,43,263,0,0,2015
Broncos  Broncos,39.5,3357,85,43.6,62,3704,22,12,16,5,16,36,247,0,0,2015
Cowboys  Cowboys,42.5,2935,69,45.2,61,3117,27,16,6,1,22,24,162,0,0,2015
Browns  Browns,40.1,2809,70,46.7,67,3270,25,7,7,4,15,37,381,1,0,2015
Bengals  Bengals,40.5,2793,68,45.2,67,3116,22,4,11,6,15,32,203,0,1,2015
Bears  Bears,39.6,2927,73,43.7,72,3233,29,6,11,4,22,30,226,1,1,2015
Panthers  Panthers,39.8,2787,70,45.4,65,3175,20,6,3,5,19,37,288,1,0,2015
Bills  Bills,41.3,3384,82,46.3,65,3797,22,9,10,3,20,40,353,0,0,2015
Ravens  Ravens,42.9,3178,74,46.7,67,3454,29,15,7,5,12,35,176,0,0,2015
Falcons  Falcons,40.4,2383,58,46.4,69,2735,24,3,4,4,19,28,272,0,1,2015
Redskins  Redskins,38.9,1907,49,45.1,61,2209,15,7,4,4,7,27,222,0,0,2016
Buccaneers  Buccaneers,42.7,2987,70,45.9,59,3215,37,3,9,5,29,24,128,0,0,2016
Seahawks  Seahawks,39.3,2830,71,43.4,64,3126,26,7,11,3,22,28,236,0,1,2016
49ers  49ers,39.8,3977,100,44.0,65,4402,28,4,11,4,41,40,345,0,0,2016
Chargers  Chargers,39.8,2349,59,46.3,69,2731,18,5,6,5,10,33,282,1,0,2016
Steelers  Steelers,40.2,2771,68,44.9,64,3100,25,11,9,3,17,28,269,0,1,2016
Cardinals  Cardinals,36.5,2919,78,40.9,62,3269,25,4,10,2,29,33,310,0,2,2016
Eagles  Eagles,40.7,2566,63,45.8,72,2888,21,6,11,6,15,25,202,1,0,2016
Jets  Jets,37.3,2837,75,42.6,59,3236,24,6,8,4,22,35,319,0,1,2016
Giants  Giants,40.9,3807,93,46.2,63,4297,28,12,20,8,16,37,330,0,0,2016
Saints  Saints,42.4,2414,57,48.3,66,2751,22,8,8,5,7,29,237,0,0,2016
Patriots  Patriots,41.4,2983,72,44.7,57,3217,23,7,14,5,19,27,134,0,0,2016
Vikings  Vikings,39.0,2886,74,42.6,72,3155,34,3,14,3,28,26,209,0,0,2016
Dolphins  Dolphins,39.9,3591,90,44.3,66,3991,32,7,15,5,26,37,300,0,0,2016
Raiders  Raiders,41.4,3352,81,48.6,72,3937,34,11,13,9,15,33,405,1,0,2016
Rams  Rams,46.0,4508,98,47.8,78,4680,51,11,11,1,40,35,152,0,0,2016
Chiefs  Chiefs,40.7,3090,76,45.1,64,3427,38,4,6,9,27,30,157,0,0,2016
Jaguars  Jaguars,39.5,3040,77,46.6,78,3589,27,5,14,8,19,31,389,1,0,2016
Colts  Colts,42.7,2392,55,48.4,74,2711,19,7,5,9,17,17,139,0,1,2016
Texans  Texans,40.1,2886,72,47.5,62,3423,30,5,3,3,13,48,477,1,0,2016
Titans  Titans,38.6,2975,77,44.2,71,3402,32,4,6,4,27,36,347,2,0,2016
Packers  Packers,39.1,2189,56,43.2,65,2420,19,11,7,4,18,16,151,0,0,2016
Lions  Lions,44.2,2740,62,48.5,63,3010,23,3,7,3,14,35,210,0,0,2016
Broncos  Broncos,41.3,3677,89,45.7,68,4068,28,6,12,6,25,40,271,0,0,2016
Cowboys  Cowboys,40.5,2389,58,45.1,66,2661,25,10,5,4,17,22,192,0,1,2016
Browns  Browns,40.3,3345,83,45.3,65,3761,22,4,9,2,23,45,376,0,0,2016
Bengals  Bengals,39.5,3084,78,46.3,72,3613,23,4,8,8,20,38,369,0,0,2016
Bears  Bears,38.4,2612,68,44.0,67,2994,24,5,5,5,31,22,282,1,0,2016
Panthers  Panthers,38.6,2937,76,45.8,76,3480,31,1,14,8,13,40,383,1,0,2016
Bills  Bills,38.1,2861,75,42.4,58,3183,20,18,7,3,8,39,262,0,0,2016
Ravens  Ravens,39.9,3190,80,45.8,68,3665,37,18,10,5,14,33,375,1,0,2016
Falcons  Falcons,41.7,2002,48,46.7,68,2243,21,1,5,1,18,23,221,0,0,2016
Redskins  Redskins,39.0,3239,83,45.7,64,3794,33,5,7,6,26,39,435,1,0,2017
Buccaneers  Buccaneers,39.5,2604,65,43.3,62,2857,24,5,7,5,21,27,153,0,1,2017
Seahawks  Seahawks,38.8,3569,92,45.0,74,4141,29,10,12,6,19,45,452,0,0,2017
49ers  49ers,41.3,3097,75,43.4,59,3255,31,8,10,1,23,33,138,1,0,2017
Chargers  Chargers,41.3,3059,74,48.1,69,3558,27,4,7,9,6,48,319,0,0,2017
Steelers  Steelers,39.8,2546,64,43.2,62,2763,26,9,6,2,24,23,177,0,0,2017
Cardinals  Cardinals,39.7,3493,88,47.3,63,4159,29,6,13,8,13,48,506,0,0,2017
Eagles  Eagles,40.6,2762,67,44.6,62,3033,21,7,16,5,14,25,171,0,1,2017
Jets  Jets,40.5,3807,94,46.6,70,4378,33,8,10,4,23,49,491,1,0,2017
Giants  Giants,36.7,3561,95,43.2,69,4189,19,7,16,9,20,43,448,1,2,2017
Saints  Saints,42.2,2533,60,47.0,68,2822,26,7,9,2,18,24,249,1,0,2017
Patriots  Patriots,40.5,2350,58,43.4,60,2515,24,5,13,3,14,23,105,0,0,2017
Vikings  Vikings,39.2,2781,71,42.2,56,2994,29,7,7,0,33,24,213,1,0,2017
Dolphins  Dolphins,40.7,3375,83,44.5,64,3695,30,6,17,5,20,35,220,0,0,2017
Raiders  Raiders,42.7,2945,69,47.4,65,3270,28,6,10,6,15,32,205,0,0,2017
Rams  Rams,44.3,2881,65,47.9,70,3113,30,16,8,4,12,25,152,0,0,2017
Chiefs  Chiefs,41.1,2672,65,45.2,77,2936,29,5,9,5,22,24,164,0,0,2017
Jaguars  Jaguars,38.9,3427,87,43.6,65,3835,29,15,8,9,25,30,228,0,1,2017
Colts  Colts,42.6,3624,84,44.3,61,3764,28,16,19,3,27,19,80,0,1,2017
Texans  Texans,41.3,3799,92,49.0,68,4507,32,8,8,5,22,49,608,1,0,2017
Titans  Titans,44.6,3342,75,49.7,74,3728,28,16,5,5,9,40,286,0,0,2017
Packers  Packers,41.6,2951,71,44.4,62,3155,19,8,8,2,24,29,164,0,0,2017
Lions  Lions,39.3,2872,73,43.7,64,3190,25,8,8,6,25,26,198,0,0,2017
Broncos  Broncos,40.0,3039,74,44.2,60,3357,24,5,13,3,23,30,258,1,2,2017
Cowboys  Cowboys,41.4,2733,66,44.1,62,2908,34,9,14,5,20,18,75,0,0,2017
Browns  Browns,40.3,3305,81,46.7,67,3827,24,6,15,2,13,45,482,0,1,2017
Bengals  Bengals,40.8,3631,88,46.1,63,4101,32,7,12,3,23,43,410,1,1,2017
Bears  Bears,39.7,3455,87,47.0,69,4087,27,8,9,6,15,49,512,1,0,2017
Panthers  Panthers,42.4,3013,71,46.0,63,3269,25,6,10,4,21,30,176,0,0,2017
Bills  Bills,40.5,3199,79,44.7,60,3529,28,10,9,6,16,38,210,0,0,2017
Ravens  Ravens,40.3,3428,84,44.3,67,3765,40,16,13,3,18,34,277,0,1,2017
Falcons  Falcons,40.8,2160,53,44.9,62,2379,19,4,3,2,22,22,179,0,0,2017
Redskins  Redskins,41.5,3278,79,45.3,63,3581,41,3,19,0,26,31,303,1,0,2018
Buccaneers  Buccaneers,38.9,2256,57,44.3,64,2567,15,3,7,4,16,27,231,0,1,2018
Seahawks  Seahawks,42.5,3355,78,47.6,69,3759,28,14,13,5,10,36,304,0,1,2018
49ers  49ers,39.1,2698,68,43.1,64,2973,22,7,4,4,28,25,195,0,1,2018
Chargers  Chargers,37.2,2306,61,42.6,66,2643,21,7,7,4,15,28,257,1,1,2018
Steelers  Steelers,38.4,2455,64,43.4,69,2780,28,6,12,4,25,17,245,1,0,2018
Cardinals  Cardinals,42.6,4008,94,48.6,64,4568,32,7,12,7,24,44,420,0,0,2018
Eagles  Eagles,42.7,2603,61,48.1,68,2937,24,2,5,7,16,31,194,0,0,2018
Jets  Jets,40.8,3345,82,45.9,67,3763,23,10,10,5,15,42,318,0,0,2018
Giants  Giants,41.8,2969,71,45.4,60,3226,20,9,15,4,16,27,177,0,0,2018
Saints  Saints,43.2,1856,43,46.4,60,1996,15,9,3,4,15,12,60,0,0,2018
Patriots  Patriots,39.5,2530,64,45.1,66,2885,21,11,15,5,8,25,255,0,0,2018
Vikings  Vikings,41.5,3027,72,44.6,70,3255,27,9,11,2,19,31,188,0,1,2018
Dolphins  Dolphins,38.4,3380,87,44.1,65,3884,35,9,10,6,25,37,384,0,1,2018
Raiders  Raiders,38.3,2681,70,43.2,64,3022,17,5,10,5,22,28,241,1,0,2018
Rams  Rams,43.0,1848,43,46.3,68,1992,21,12,10,2,7,12,104,0,0,2018
Chiefs  Chiefs,40.5,1824,45,44.9,67,2021,21,1,10,5,12,17,97,0,0,2018
Jaguars  Jaguars,41.3,3548,86,45.0,72,3872,37,13,11,7,18,37,184,0,0,2018
Colts  Colts,42.7,2436,57,46.1,63,2629,24,3,10,5,18,21,93,0,0,2018
Texans  Texans,39.1,2897,74,43.7,61,3237,36,6,8,5,23,32,240,0,0,2018
Titans  Titans,41.7,3127,74,46.4,62,3483,39,15,7,3,16,33,296,0,1,2018
Packers  Packers,38.8,2790,71,44.1,67,3176,19,4,11,9,27,20,206,0,1,2018
Lions  Lions,39.2,2898,74,44.7,61,3310,32,3,13,4,25,29,332,1,0,2018
Broncos  Broncos,38.3,3258,85,44.5,66,3786,29,13,9,8,20,35,368,1,0,2018
Cowboys  Cowboys,39.6,2376,60,44.5,63,2670,17,3,9,2,16,30,254,0,0,2018
Browns  Browns,38.2,3250,83,44.3,79,3767,32,7,11,6,22,37,397,0,2,2018
Bengals  Bengals,39.4,2839,71,43.3,69,3119,29,2,12,3,24,30,220,1,1,2018
Bears  Bears,39.7,2501,62,44.3,65,2791,28,2,13,7,20,20,150,0,1,2018
Panthers  Panthers,41.0,2498,61,45.2,59,2759,24,4,7,4,24,22,181,0,0,2018
Bills  Bills,37.5,3076,81,42.8,60,3513,31,7,15,7,18,34,297,0,1,2018
Ravens  Ravens,39.8,2427,60,46.6,65,2842,27,7,7,5,10,31,315,0,1,2018
Falcons  Falcons,40.1,2485,60,44.0,57,2729,22,3,6,3,21,27,184,0,2,2018
Redskins  Redskins,44.1,3485,79,49.6,79,3919,30,5,12,4,19,39,354,0,0,2019
Buccaneers  Buccaneers,38.3,2182,57,43.2,63,2464,19,2,9,3,18,25,222,0,0,2019
Seahawks  Seahawks,40.9,3028,74,45.1,63,3341,34,8,9,5,18,34,213,1,0,2019
49ers  49ers,41.6,2162,52,44.9,65,2333,23,5,9,2,13,23,131,0,0,2019
Chargers  Chargers,40.9,1964,48,47.0,60,2256,17,2,3,2,8,33,252,0,0,2019
Steelers  Steelers,40.9,3023,74,45.5,69,3368,24,5,12,4,24,29,265,0,0,2019
Cardinals  Cardinals,41.5,2904,69,47.0,64,3288,23,6,7,5,16,35,284,1,1,2019
Eagles  Eagles,42.3,3005,71,46.4,61,3292,28,7,9,4,19,32,207,0,0,2019
Jets  Jets,41.6,3622,87,45.9,63,3991,28,9,18,3,13,44,309,0,0,2019
Giants  Giants,42.3,3002,69,44.8,62,3178,29,9,17,2,17,24,136,0,2,2019
Saints  Saints,43.1,2584,60,46.2,64,2770,29,7,7,1,21,24,166,0,0,2019
Patriots  Patriots,41.3,3343,81,44.9,65,3638,36,17,12,6,18,28,175,0,0,2019
Vikings  Vikings,42.6,2644,62,45.2,59,2802,24,6,9,0,24,23,158,0,0,2019
Dolphins  Dolphins,41.1,2836,69,45.0,62,3105,23,6,12,2,20,29,229,0,0,2019
Raiders  Raiders,39.4,2643,67,46.0,74,3081,33,3,8,6,20,30,318,0,0,2019
Rams  Rams,42.4,2838,66,46.7,71,3128,22,14,10,5,14,23,190,0,1,2019
Chiefs  Chiefs,40.3,1977,48,43.4,68,2126,21,1,11,3,14,19,89,0,1,2019
Jaguars  Jaguars,44.5,3340,75,46.8,66,3507,25,12,11,2,26,24,127,0,0,2019
Colts  Colts,41.2,2433,59,44.4,60,2619,22,6,9,1,15,28,166,0,0,2019
Texans  Texans,43.5,2477,57,45.6,71,2599,27,2,10,2,19,24,82,0,0,2019
Titans  Titans,43.1,3363,78,47.1,70,3672,37,18,9,2,19,30,269,0,0,2019
Packers  Packers,39.9,3073,77,44.0,66,3386,29,12,10,4,25,26,233,0,0,2019
Lions  Lions,41.8,3175,76,45.3,62,3445,31,5,13,7,22,29,130,0,0,2019
Broncos  Broncos,39.4,3070,78,44.4,64,3464,29,12,9,4,21,32,314,2,0,2019
Cowboys  Cowboys,37.0,1885,50,40.8,58,2079,18,3,9,2,18,18,154,0,1,2019
Browns  Browns,41.5,2699,64,45.4,71,2950,29,8,13,5,18,20,151,0,1,2019
Bengals  Bengals,42.1,3158,75,45.3,63,3394,30,6,10,5,30,24,136,0,0,2019
Bears  Bears,40.7,3299,80,44.3,75,3586,26,4,13,2,26,35,247,0,1,2019
Panthers  Panthers,38.7,2905,75,46.0,62,3452,25,9,7,3,16,40,487,3,0,2019
Bills  Bills,37.7,3016,79,41.4,67,3313,34,15,13,7,26,18,157,0,1,2019
Ravens  Ravens,39.8,1632,40,45.2,62,1855,21,6,5,4,10,15,143,0,1,2019
Falcons  Falcons,38.1,2017,52,41.7,60,2210,22,7,5,3,18,19,133,0,1,2019
Football Team  Football Team,44.3,3235,73,48.0,65,3504,23,0,9,3,25,36,209,0,0,2020
Buccaneers  Buccaneers,40.2,2210,55,45.2,62,2486,19,9,6,2,15,23,236,1,0,2020
Seahawks  Seahawks,44.4,2709,61,49.6,67,3028,32,6,8,6,13,28,199,0,0,2020
49ers  49ers,41.6,2790,66,46.2,60,3093,25,4,5,6,28,23,183,0,1,2020
Chargers  Chargers,34.1,2045,57,44.5,63,2669,12,5,4,3,8,37,564,1,3,2020
Steelers  Steelers,39.6,3050,77,45.1,62,3470,29,7,6,5,27,32,320,0,0,2020
Cardinals  Cardinals,39.6,2299,58,44.8,61,2600,21,2,9,5,20,22,201,0,0,2020
Eagles  Eagles,40.6,3001,73,45.9,66,3395,27,6,5,6,13,43,274,0,1,2020
Jets  Jets,37.2,3052,82,43.9,60,3598,19,9,10,5,20,38,446,0,0,2020
Giants  Giants,38.8,2559,65,44.1,71,2911,28,2,14,6,18,25,232,0,1,2020
Saints  Saints,41.7,2588,62,43.1,58,2674,23,6,5,2,29,20,46,0,0,2020
Patriots  Patriots,45.6,2507,55,48.7,71,2678,31,5,15,5,18,12,71,0,0,2020
Vikings  Vikings,36.7,2054,54,43.5,59,2435,11,1,6,3,11,33,321,0,2,2020
Dolphins  Dolphins,39.8,2703,68,44.7,63,3040,26,5,15,2,22,24,297,2,0,2020
Raiders  Raiders,40.1,1766,44,44.1,63,1939,20,6,6,2,16,14,133,0,0,2020
Rams  Rams,39.2,2702,68,44.9,63,3099,28,11,9,5,20,23,297,1,1,2020
Chiefs  Chiefs,40.4,2100,52,45.0,67,2339,20,8,5,6,18,15,119,0,0,2020
Jaguars  Jaguars,42.4,2755,65,46.9,67,3051,21,7,13,5,14,26,196,0,0,2020
Colts  Colts,39.6,1939,48,45.2,60,2216,20,3,7,5,10,23,177,0,1,2020
Texans  Texans,41.5,2283,55,46.0,67,2531,20,4,5,6,21,19,128,0,0,2020
Titans  Titans,40.1,2005,49,45.1,66,2256,22,7,5,4,13,20,171,0,1,2020
Packers  Packers,37.0,1741,46,44.5,62,2092,15,9,7,3,10,17,291,2,1,2020
Lions  Lions,44.8,2641,59,49.1,67,2897,26,4,11,7,15,21,116,0,0,2020
Broncos  Broncos,41.4,2734,65,46.1,69,3040,19,16,4,4,13,28,226,0,1,2020
Cowboys  Cowboys,41.2,2058,50,45.0,58,2250,15,2,1,3,29,15,132,0,0,2020
Browns  Browns,38.3,1955,51,44.0,59,2244,14,4,4,3,15,25,229,0,0,2020
Bengals  Bengals,42.8,3040,71,47.2,72,3350,19,4,15,7,16,29,170,0,0,2020
Bears  Bears,39.5,2530,64,45.7,64,2924,28,2,10,5,22,25,294,0,0,2020
Panthers  Panthers,40.8,1838,45,46.3,67,2082,21,2,6,3,16,18,184,1,0,2020
Bills  Bills,44.0,1804,41,50.8,72,2082,18,8,4,7,6,16,138,0,0,2020
Ravens  Ravens,42.3,2240,53,44.7,59,2368,22,8,5,1,20,19,108,0,0,2020
Falcons  Falcons,39.3,2199,56,42.5,57,2381,17,4,5,2,19,26,142,0,0,2020
